Unnamed: 0	university	career	inscription_date	first_name	last_name	gender	age	location	email	postal_code
34	universidad nacional de río cuarto	licenciatura en ciencias biológicas	2020-09-03	rebecca	cisneros	female	74	cupiles	awelch@gmail.com	5595
35	universidad nacional de río cuarto	ciencias veterinarias	2020-09-03	charlene	brown	female	3	colonia baron	albertjones@yahoo.com	6315
36	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-03	tammie	black	female	2	san clemente del tuyu	jessica76@hotmail.com	7105
37	universidad nacional de río cuarto	ingeniería en informática	2020-09-04	catherine	vasquez	female	45	ciudadela	jane59@gmail.com	1702
38	universidad nacional de río cuarto	ingeniería electrónica	2020-09-04	matthew	hoffman	male	32	amberes	flynnjoseph@yahoo.com	4144
39	universidad nacional de río cuarto	licenciatura en administración 	2020-09-04	robert	harper	male	8	aguas de las mulas	hernandezangela@gmail.com	8349
40	universidad nacional de río cuarto	licenciatura en producción de bioimagenes	2020-09-04	karen	williams	female	60	arquedas	jennifervega@hotmail.com	8164
41	universidad nacional de río cuarto	arquitectura	2020-09-04	megan	grant	female	52	almirante solier	ryanclark@hotmail.com	8109
42	universidad nacional de río cuarto	licenciatura en psicología	2020-09-04	lindsey	oliver	female	5	cuesta del ternero	hansondanny@hotmail.com	9210
43	universidad nacional de río cuarto	contador público 	2020-09-04	micheal	shea	male	42	agua colorada	stephen51@gmail.com	5383
44	universidad nacional de río cuarto	ingeniería mecánica	2020-09-04	joshua	villegas	male	92	cataratas del iguazu	hulltina@hotmail.com	3372
45	universidad nacional de río cuarto	licenciatura en terapia ocupacional	2020-09-04	virginia	scott	female	13	curandu	brownpenny@hotmail.com	3532
46	universidad nacional de río cuarto	licenciatura en artes	2020-09-04	nicole	jackson	female	49	alberto flores	allisonsmith@yahoo.com	5582
47	universidad nacional de río cuarto	licenciatura en terapia ocupacional	2020-09-04	kristen	sexton	female	40	colonia baron	sierrawise@gmail.com	6315
48	universidad nacional de río cuarto	licenciatura en planificación y diseño del paisaje	2020-09-04	tina	smith	female	63	victoria	icarroll@hotmail.com	1644
49	universidad nacional de río cuarto	licenciatura en artes	2020-09-04	danielle	james	female	26	campo sabate	craigfitzpatrick@hotmail.com	7245
50	universidad nacional de río cuarto	licenciatura en psicología	2020-09-05	deborah	morris	female	46	camino centenario km 11500	wnewman@yahoo.com	1896
51	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-05	christopher	pacheco	male	1	kilmetro 165	george93@yahoo.com	3153
52	universidad nacional de río cuarto	agronomía	2020-09-05	johnny	buchanan	male	14	planicie banderita	wilsonelizabeth@gmail.com	8301
53	universidad nacional de río cuarto	contador público 	2020-09-05	heather	lopez	female	49	colonia matilde	mary87@gmail.com	3013
54	universidad nacional de río cuarto	licenciatura en gestión de agroalimentos	2020-09-05	ryan	jenkins	male	31	colonia josefa	nathan34@yahoo.com	8363
55	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-05	john	cole	male	89	agustin mosconi	molinacassidy@yahoo.com	6667
56	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-05	angela	reese	female	24	alto verde	danielleatkins@yahoo.com	4608
57	universidad nacional de río cuarto	agronomía	2020-09-05	aaron	strong	male	41	paso de los andes	briansanders@gmail.com	5503
58	universidad nacional de río cuarto	ingeniería electrónica	2020-09-05	jason	roach	male	71	alto con zampa	amandafigueroa@gmail.com	5594
59	universidad nacional de río cuarto	ciencias veterinarias	2020-09-06	rebecca	reilly	female	38	crispi	zvillegas@gmail.com	2441
60	universidad nacional de río cuarto	licenciatura en planificación y diseño del paisaje	2020-09-06	donald	robbins	male	68	aguada escondida	ehiggins@hotmail.com	9019
61	universidad nacional de río cuarto	medicina	2020-09-06	tracy	riddle	female	75	arroyo las minas	floreschloe@yahoo.com	8415
62	universidad nacional de río cuarto	licenciatura en ciencias de la computación	2020-09-06	logan	goodwin	male	12	abra pampa	boyernicolas@hotmail.com	4640
63	universidad nacional de río cuarto	diseño industrial	2020-09-06	nicholas	kemp	male	94	betbeder	istout@hotmail.com	3156
64	universidad nacional de río cuarto	ingeniería en informática	2020-09-06	sarah	campbell	female	31	calilegua	matthewdelgado@hotmail.com	4514
65	universidad nacional de río cuarto	agronomía	2020-09-06	diana	carr	female	44	candelaria	adrianadiaz@gmail.com	3308
66	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-06	lisa	gonzalez	female	16	la cañada	keitholson@yahoo.com	5567
67	universidad nacional de río cuarto	licenciatura en relaciones del trabajo 	2020-09-06	courtney	hurst	female	55	allen	flawson@hotmail.com	8328
68	universidad nacional de río cuarto	ingeniería electrónica	2020-09-06	derrick	aguirre	male	63	general guido	masseyheidi@hotmail.com	7118
69	universidad nacional de río cuarto	licenciatura en gestión de agroalimentos	2020-09-06	christian	santos	male	4	ingeniero thompson	meghan90@yahoo.com	6337
70	universidad nacional de río cuarto	licenciatura en ciencias de la computación	2020-09-06	joseph	phillips	male	18	ocho vados	josephbanks@gmail.com	4713
71	universidad nacional de río cuarto	licenciatura en administración 	2020-09-06	zachary	perry	male	26	aguas buenas	hthomas@yahoo.com	6228
72	universidad nacional de río cuarto	técnico para bioterios 	2020-09-06	andrew	martinez	male	27	alto del saladillo	daltonsavage@hotmail.com	4522
73	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-06	christopher	williams	male	78	sancti spiritu	khorton@hotmail.com	2617
74	universidad nacional de río cuarto	licenciatura en administración 	2020-09-06	sean	smith	male	9	la pastora	pricejohnathan@gmail.com	7001
75	universidad nacional de río cuarto	farmacia	2020-09-07	alicia	davenport	female	31	san isidro	heathermartin@yahoo.com	1642
76	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-07	brandon	jimenez	male	52	arquedas	garrettmccoy@hotmail.com	8164
77	universidad nacional de río cuarto	licenciatura en administración 	2020-09-07	brianna	mcgee	female	69	dolores	duffyjennifer@gmail.com	7100
78	universidad nacional de río cuarto	agronomía	2020-09-07	holly	contreras	female	1	balneario la caleta	osbornjacqueline@gmail.com	7609
79	universidad nacional de río cuarto	licenciatura en ciencias de la computación	2020-09-07	nathaniel	garcia	male	89	colonia lia y allende	cynthiapadilla@yahoo.com	8200
80	universidad nacional de río cuarto	licenciatura en artes	2020-09-07	brandon	smith	male	4	2 de mayo	tammy56@hotmail.com	3722
81	universidad nacional de río cuarto	ciencias veterinarias	2020-09-07	joe	simon	male	55	del viso	leesandra@gmail.com	1669
82	universidad nacional de río cuarto	licenciatura en psicología	2020-09-07	lisa	hutchinson	female	64	estancia las gamas	taylor63@gmail.com	3057
83	universidad nacional de río cuarto	ingeniería electrónica	2020-09-07	kim	hurst	female	73	los antiguos	tyler23@hotmail.com	9041
84	universidad nacional de río cuarto	ciencias veterinarias	2020-09-07	leslie	walsh	female	25	9 de julio	turnercory@yahoo.com	6500
85	universidad nacional de río cuarto	arquitectura	2020-09-07	sara	white	female	48	aguara grande	khall@yahoo.com	3071
86	universidad nacional de río cuarto	licenciatura en psicología	2020-09-07	barbara	mckenzie	female	84	haedo	ariascarrie@yahoo.com	1706
87	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-07	daniel	gonzalez	male	6	colonia cello	obenjamin@hotmail.com	2405
88	universidad nacional de río cuarto	ciencias veterinarias	2020-09-07	elizabeth	ingram	female	16	barrio la luisa	tara01@gmail.com	7400
89	universidad nacional de río cuarto	agronomía	2020-09-07	valerie	beltran	female	6	alabama	ugraham@hotmail.com	4117
90	universidad nacional de río cuarto	arquitectura	2020-09-07	kyle	rose	male	19	estacion mazan	nwalters@gmail.com	5313
91	universidad nacional de río cuarto	licenciatura en ciencias geológicas	2020-09-07	jeffrey	jones	male	33	arroyo del rey	preyes@yahoo.com	3565
92	universidad nacional de río cuarto	ingeniería electrónica	2020-09-07	sandra	dixon	female	16	coronel charlone	kennethcalderon@gmail.com	6223
93	universidad nacional de río cuarto	farmacia	2020-09-07	tracy	lin	female	97	cupiles	melissalee@yahoo.com	5595
94	universidad nacional de río cuarto	contador público 	2020-09-07	cody	james	male	74	el rincon	njimenez@hotmail.com	8146
95	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-08	kelly	cortez	female	1	almacen el descanso	jonesmark@yahoo.com	2752
96	universidad nacional de río cuarto	ingeniería electrónica	2020-09-08	brian	lee	male	61	acostilla	dbrewer@yahoo.com	4701
97	universidad nacional de río cuarto	ingeniería en informática	2020-09-08	samantha	hughes	female	15	san bernardo del tuyu	stephen10@hotmail.com	7111
98	universidad nacional de río cuarto	ciencias veterinarias	2020-09-08	jessica	bernard	female	90	colonia españa	brian42@gmail.com	8206
99	universidad nacional de río cuarto	farmacia	2020-09-08	alexander	harmon	male	47	aldea asuncion	zroach@hotmail.com	2841
100	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-08	william	smith	male	85	claudio c molina	estevenson@gmail.com	7515
101	universidad nacional de río cuarto	ingeniería electrónica	2020-09-08	jerry	smith	male	17	campo garabato	gsullivan@hotmail.com	3572
102	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-08	rebecca	frederick	female	30	baños pismanta	ritaanderson@yahoo.com	5465
103	universidad nacional de río cuarto	agronomía	2020-09-08	jennifer	williams	female	1	arijon	thomasrachel@hotmail.com	2242
104	universidad nacional de río cuarto	arquitectura	2020-09-08	jamie	graves	male	33	guamini	dayjoseph@gmail.com	6435
105	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-08	jason	rosario	male	40	igarzabal	chungkenneth@gmail.com	8512
106	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-08	margaret	anderson	female	61	campo la nena	pking@hotmail.com	2764
107	universidad nacional de río cuarto	licenciatura en ciencias geológicas	2020-09-08	wayne	hernandez	male	0	barrio pedro rocco	jason94@gmail.com	7109
108	universidad nacional de río cuarto	farmacia	2020-09-09	pamela	johnson	female	89	las perlas	jill67@yahoo.com	8300
109	universidad nacional de río cuarto	licenciatura en ciencia y tecnología de alimentos	2020-09-09	denise	turner	female	73	bonifacio	scott01@hotmail.com	6439
110	universidad nacional de río cuarto	licenciatura en artes	2020-09-09	april	carpenter	female	72	cañadon leon	youngsheri@yahoo.com	9311
111	universidad nacional de río cuarto	licenciatura en ciencias geológicas	2020-09-09	pamela	ware	female	34	san antonio de obligado	andersonrobert@yahoo.com	3587
112	universidad nacional de río cuarto	licenciatura en artes	2020-09-09	morgan	hale	female	17	campo medina	jacobdunn@hotmail.com	2142
113	universidad nacional de río cuarto	licenciatura en producción de bioimagenes	2020-09-09	zachary	petty	male	47	arroyo cahunco	brooke68@hotmail.com	8347
114	universidad nacional de río cuarto	contador público 	2020-09-09	chad	freeman	male	92	aparicio cue	hlee@yahoo.com	3322
115	universidad nacional de río cuarto	arquitectura	2020-09-09	anthony	collier	male	7	angeloni	csuarez@hotmail.com	3048
116	universidad nacional de río cuarto	actuario 	2020-09-09	david	miller	male	25	coronel granada	qwolfe@gmail.com	6062
117	universidad nacional de río cuarto	técnico para bioterios 	2020-09-09	alexander	martinez	male	28	arroyo del rey	mayers@yahoo.com	3565
118	universidad nacional de río cuarto	licenciatura en psicología	2020-09-09	kelsey	hendrix	female	90	el chalten	uwalters@yahoo.com	9301
119	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-10	jennifer	haynes	female	10	arroyo del pescado	andersonmatthew@gmail.com	1923
120	universidad nacional de río cuarto	farmacia	2020-09-10	melissa	watkins	female	63	20 de febrero	ashley36@gmail.com	5730
121	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-10	kelly	patel	female	7	coronel boerr	victoria48@gmail.com	7208
122	universidad nacional de río cuarto	farmacia	2020-09-10	john	lee	male	38	boulogne	hduncan@yahoo.com	1609
123	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-10	wesley	taylor	male	27	benito juarez	johnhughes@gmail.com	7020
124	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-10	sandra	smith	female	2	barrio carosio	kimberlyenglish@hotmail.com	6000
125	universidad nacional de río cuarto	licenciatura en ciencias de la computación	2020-09-10	yvonne	nelson	female	82	alvear	nortonjoseph@gmail.com	2126
126	universidad nacional de río cuarto	actuario 	2020-09-10	meredith	davis	female	1	arroyo molino	hansonmisty@yahoo.com	3260
127	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-10	elizabeth	barr	female	47	colonia alberdi	harrisjessica@hotmail.com	6034
128	universidad nacional de río cuarto	contador público 	2020-09-10	brian	wilson	male	41	el molle	jerryyang@yahoo.com	5350
129	universidad nacional de río cuarto	licenciatura en planificación y diseño del paisaje	2020-09-11	michael	burns	male	71	gandolfi	iburns@gmail.com	3526
130	universidad nacional de río cuarto	contador público 	2020-09-11	nicole	meyer	female	6	adolfo alsina	jkhan@hotmail.com	6430
131	universidad nacional de río cuarto	licenciatura en planificación y diseño del paisaje	2020-09-11	yolanda	jones	female	24	nelson	matakathleen@yahoo.com	3032
132	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-11	steve	md	male	82	matheu	julia47@yahoo.com	1627
133	universidad nacional de río cuarto	licenciatura en ciencias antropológicas	2020-09-11	tammy	cruz	female	30	arroyo salado	sbarrett@gmail.com	8532
134	universidad nacional de río cuarto	licenciatura en ciencias biológicas	2020-09-11	marie	pierce	female	69	el alto	deborahgaines@yahoo.com	5577
135	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-11	joseph	wells	male	86	bella vista	qgonzales@yahoo.com	5835
136	universidad nacional de río cuarto	farmacia	2020-09-11	christopher	nelson	male	15	villa rosa	cking@gmail.com	1631
137	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-11	thomas	elliott	male	87	la colina	jonesjulian@yahoo.com	7408
138	universidad nacional de río cuarto	agronomía	2020-09-11	lisa	ruiz	female	85	bolivar	mooredonna@yahoo.com	6550
139	universidad nacional de río cuarto	técnico para bioterios 	2020-09-12	dawn	cruz	female	60	juan maria gutierrez	phelpssarah@yahoo.com	1890
140	universidad nacional de río cuarto	ingeniería electrónica	2020-09-12	heather	briggs	female	4	agua cercada	elizabeth20@hotmail.com	5447
141	universidad nacional de río cuarto	farmacia	2020-09-12	amanda	chapman	female	15	arana	moorenancy@yahoo.com	1909
142	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-12	sue	franklin	female	18	d orbigny	fbyrd@yahoo.com	7541
143	universidad nacional de río cuarto	licenciatura en administración 	2020-09-12	katherine	roman	female	81	13 de enero	grossrichard@gmail.com	5741
144	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-12	lauren	wiley	female	30	bartolome mitre	carlaharris@gmail.com	3418
145	universidad nacional de río cuarto	agronomía	2020-09-12	angela	lam	female	68	ceres	savannahpollard@yahoo.com	2340
146	universidad nacional de río cuarto	licenciatura en artes	2020-09-12	james	sanchez	male	91	bella vista	rbrooks@hotmail.com	5835
147	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-12	alexandra	hale	female	30	arbol verde	jason45@gmail.com	5715
148	universidad nacional de río cuarto	ingeniería electrónica	2020-09-12	gabrielle	marquez	female	4	colonia duran	frenchanthony@hotmail.com	3553
149	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-12	nicole	perry	female	93	aguadita	michaelfarrell@yahoo.com	5385
150	universidad nacional de río cuarto	licenciatura en administración 	2020-09-13	haley	edwards	female	17	arroyo vega	crystal32@hotmail.com	3196
151	universidad nacional de río cuarto	licenciatura en ciencias antropológicas	2020-09-13	nicholas	gutierrez	male	3	del viso	qjames@hotmail.com	1669
152	universidad nacional de río cuarto	ingeniería electrónica	2020-09-13	david	hernandez	male	11	anguil	hollandann@yahoo.com	6326
153	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-13	justin	dvm	male	55	cañada	bryanmorrison@yahoo.com	5773
154	universidad nacional de río cuarto	ingeniería electrónica	2020-09-13	anna	gray	female	67	acheral	xelliott@yahoo.com	5260
155	universidad nacional de río cuarto	arquitectura	2020-09-13	jacob	anderson	male	10	isla martin garcia	robert84@gmail.com	1601
156	universidad nacional de río cuarto	licenciatura en ciencias biológicas	2020-09-13	douglas	owens	male	63	colonia dr gdor udaondo	tyler60@hotmail.com	8180
157	universidad nacional de río cuarto	contador público 	2020-09-13	douglas	mccarty	male	2	benito juarez	qcook@hotmail.com	7020
158	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-13	patricia	west	female	34	estela	leslie49@gmail.com	8127
159	universidad nacional de río cuarto	diseño industrial	2020-09-13	james	tucker	male	10	arata	shelley63@hotmail.com	6385
160	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-13	jennifer	miller	female	54	san justo	annette19@hotmail.com	1754
161	universidad nacional de río cuarto	ingeniería electrónica	2020-09-14	zachary	wilkerson	male	14	campo charo	amy59@yahoo.com	2512
162	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-14	michael	gonzalez	male	68	juan vela	tiffany65@yahoo.com	6663
163	universidad nacional de río cuarto	ingeniería en informática	2020-09-14	amanda	lopez	female	82	abalo	gnewton@gmail.com	3466
164	universidad nacional de río cuarto	arquitectura	2020-09-14	sandra	clark	female	59	campamento sol	xbrown@yahoo.com	8319
165	universidad nacional de río cuarto	técnico para bioterios 	2020-09-14	amber	carter	female	18	adolfo alsina	ayerssusan@yahoo.com	6430
166	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-14	alec	wood	male	38	barrio chapadmalal	rmoses@yahoo.com	7605
167	universidad nacional de río cuarto	licenciatura en ciencias geológicas	2020-09-14	dr.	harris	male	22	arbol solo	robertahenderson@hotmail.com	3513
168	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-14	danielle	hansen	female	3	abra baya	carrie90@hotmail.com	4137
169	universidad nacional de río cuarto	contador público 	2020-09-14	sean	burke	male	3	san geronimo	jennifer35@yahoo.com	2136
170	universidad nacional de río cuarto	ingeniería mecánica	2020-09-14	walter	perez	male	79	kilometro 208	clarkkeith@gmail.com	3172
171	universidad nacional de río cuarto	ingeniería en informática	2020-09-14	francisco	marquez	male	11	colonia leiva	adam96@gmail.com	3326
172	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-14	joshua	newman	male	7	el socorro	hensleymichael@yahoo.com	2715
173	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-15	christopher	williamson	male	80	hale	chadkoch@hotmail.com	6511
174	universidad nacional de río cuarto	licenciatura en kinesiología y fisiatría	2020-09-15	ryan	stout	male	8	angeloni	amandawebb@hotmail.com	3048
175	universidad nacional de río cuarto	farmacia	2020-09-15	terri	bailey	female	51	el zapallar	scotttimothy@gmail.com	5353
176	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-15	willie	gordon	male	57	bahia langara	adamskimberly@hotmail.com	9011
177	universidad nacional de río cuarto	licenciatura en psicología	2020-09-15	joanne	wolf	female	27	arroyo de la cruz	whicks@hotmail.com	2813
178	universidad nacional de río cuarto	licenciatura en artes	2020-09-15	erika	ramirez	female	72	aguada a pique	abrandt@yahoo.com	9051
179	universidad nacional de río cuarto	ingeniería electrónica	2020-09-15	brianna	pearson	female	14	basail	smithtracy@hotmail.com	3516
180	universidad nacional de río cuarto	licenciatura en musicoterapia	2020-09-15	laurie	schroeder	female	4	abra verde	rhondaramirez@hotmail.com	5470
181	universidad nacional de río cuarto	licenciatura en ciencias antropológicas	2020-09-15	brian	bonilla	male	22	caraguatay	vsmith@hotmail.com	3557
182	universidad nacional de río cuarto	licenciatura en ciencias biológicas	2020-09-15	kenneth	reeves	male	33	colonia monte la plata	zpugh@yahoo.com	8144
183	universidad nacional de río cuarto	licenciatura en administración 	2020-09-15	joe	buchanan	male	56	anguil	jeffreyfrancis@gmail.com	6326
184	universidad nacional de río cuarto	diseño industrial	2020-09-15	scott	weber	male	69	bowen	fergusonstephen@yahoo.com	5634
185	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-16	gabriella	hanson	female	51	maipu	christina54@gmail.com	5515
186	universidad nacional de río cuarto	ingeniería electrónica	2020-09-16	christine	horne	female	62	kilometro 525	natashacasey@hotmail.com	3545
187	universidad nacional de río cuarto	licenciatura en ciencia y tecnología de alimentos	2020-09-16	joseph	md	male	77	avena	john36@yahoo.com	2449
188	universidad nacional de río cuarto	ingeniería electrónica	2020-09-16	harry	thomas	male	74	alto del salvador	wangleah@yahoo.com	5570
189	universidad nacional de río cuarto	licenciatura en ciencias ambientales	2020-09-16	george	goodman	male	11	aldea san antonio	garciajoshua@hotmail.com	3117
190	universidad nacional de río cuarto	medicina	2020-09-16	david	mcdonald	male	1	avanzada	carol55@yahoo.com	5738
191	universidad nacional de río cuarto	ingeniería mecánica	2020-09-16	kayla	chen	female	10	cavour	stephenrodriguez@yahoo.com	3081
192	universidad nacional de río cuarto	técnico para bioterios 	2020-09-16	matthew	pruitt	male	55	los molinos	james65@hotmail.com	2181
193	universidad nacional de río cuarto	licenciatura en administración 	2020-09-16	ashley	waller	female	88	estacion coronel pringles	gary04@hotmail.com	7536
194	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-16	michael	miller	male	1	estancia las isletas	dannylindsey@hotmail.com	8148
195	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-16	jessica	cabrera	female	63	cerrillos al sud	fryechristopher@yahoo.com	5501
196	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-16	megan	baker	female	26	aparzo	patrick77@gmail.com	4630
197	universidad nacional de río cuarto	medicina	2020-09-16	carlos	pham	male	16	del valle	robertclarke@gmail.com	6509
198	universidad nacional de río cuarto	ingeniería mecánica	2020-09-16	michael	mejia	male	11	acheral	rbell@yahoo.com	5260
199	universidad nacional de río cuarto	licenciatura en artes	2020-09-16	karen	nielsen	female	72	catua	brian43@yahoo.com	4413
200	universidad nacional de río cuarto	licenciatura en terapia ocupacional	2020-09-17	david	pineda	male	0	bahia cracher	christine82@gmail.com	9120
201	universidad nacional de río cuarto	medicina	2020-09-17	amanda	shepherd	female	15	cabral cue	trodriguez@hotmail.com	3518
202	universidad nacional de río cuarto	licenciatura en ciencias biológicas	2020-09-17	mary	simpson	female	45	catua	gonzalezapril@yahoo.com	4413
203	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-17	carla	taylor	female	37	campo las puertas	johnherrera@yahoo.com	3541
204	universidad nacional de río cuarto	técnico para bioterios 	2020-09-17	megan	perez	female	44	colonia los sauces	davidwest@gmail.com	3200
205	universidad nacional de río cuarto	ciencias veterinarias	2020-09-17	joshua	pierce	male	33	abra verde	rbradley@hotmail.com	5470
206	universidad nacional de río cuarto	licenciatura en artes	2020-09-17	richard	hendricks	male	45	ingenio la providencia	bpalmer@hotmail.com	4145
207	universidad nacional de río cuarto	farmacia	2020-09-17	jennifer	roberson	female	42	1 de mayo	cpowell@gmail.com	3362
208	universidad nacional de río cuarto	licenciatura en administración 	2020-09-17	james	hughes	male	71	el perdido est jose guisasola	richard19@hotmail.com	8156
209	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-17	maurice	barnett	male	14	la buana moza	kyle73@hotmail.com	2930
210	universidad nacional de río cuarto	licenciatura en ciencias antropológicas	2020-09-17	dustin	gaines	male	1	bella vista	robertortiz@gmail.com	5835
