,universidad,careers,fecha_de_inscripcion,names,sexo,birth_dates,correos_electronicos,codigo_postal
16,_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,02/Sep/20,amber_thomas,f,28/Dec/60,kennedyantonio@gmail.com,2154
17,_universidad_de_palermo,medicina,02/Sep/20,joseph_sampson,m,14/Jun/22,adamberry@gmail.com,4650
18,_universidad_de_palermo,ingeniería_mecánica,02/Sep/20,david_haas,m,28/Apr/05,morganacosta@gmail.com,3061
19,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,02/Sep/20,noah_martinez,m,19/Jun/09,kaitlyn92@hotmail.com,2352
20,_universidad_de_palermo,licenciatura_en_ciencias_de_la_computación,02/Sep/20,nicole_walker,f,28/Mar/09,george24@gmail.com,8324
21,_universidad_de_palermo,licenciatura_en_artes,02/Sep/20,taylor_castillo,m,22/Mar/75,zachary32@yahoo.com,5435
22,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,02/Sep/20,ms._sierra_delacruz,f,28/Aug/37,thomas52@gmail.com,3313
23,_universidad_de_palermo,licenciatura_en_sociología_,02/Sep/20,larry_nelson,m,03/Jul/84,contrerasmelissa@hotmail.com,8333
24,_universidad_de_palermo,técnico_para_bioterios_,02/Sep/20,elizabeth_williams,f,01/Apr/85,teresa03@hotmail.com,6315
25,_universidad_de_palermo,licenciatura_en_psicología,02/Sep/20,taylor_mejia,f,10/Feb/19,leah68@yahoo.com,7245
26,_universidad_de_palermo,licenciatura_en_musicoterapia,02/Sep/20,maria_west,f,24/Jun/63,allencarly@yahoo.com,6237
27,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,02/Sep/20,sherry_robinson,f,22/Oct/58,richard43@gmail.com,3229
28,_universidad_de_palermo,medicina,02/Sep/20,carolyn_potter,f,15/Jun/44,gregory94@gmail.com,6438
29,_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,03/Sep/20,nicholas_foster,m,20/Apr/87,alijamie@gmail.com,7116
30,_universidad_de_palermo,medicina,03/Sep/20,kelly_zimmerman,f,25/Feb/17,qpierce@yahoo.com,4643
31,_universidad_de_palermo,diseño_industrial,03/Sep/20,jason_henry,m,19/Oct/43,areynolds@gmail.com,3412
32,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,03/Sep/20,bonnie_gross,f,02/Jun/73,amy35@yahoo.com,7316
33,_universidad_de_palermo,ingeniería_electrónica,03/Sep/20,joseph_johnson,m,16/Sep/75,kennethnichols@hotmail.com,5275
34,_universidad_de_palermo,agronomía,03/Sep/20,robert_williams,m,27/Nov/32,caseandrea@hotmail.com,6640
35,_universidad_de_palermo,licenciatura_en_sociología_,03/Sep/20,emily_jenkins,f,12/Dec/80,wdaniels@gmail.com,1636
36,_universidad_de_palermo,licenciatura_en_administración_,03/Sep/20,robert_carpenter,m,29/Nov/19,josephhernandez@gmail.com,8424
37,_universidad_de_palermo,agronomía,03/Sep/20,leah_copeland,f,09/May/98,ruthgordon@yahoo.com,1771
38,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,03/Sep/20,debra_garcia,f,20/Jul/96,higginslaura@yahoo.com,9227
39,_universidad_de_palermo,contador_público_,04/Sep/20,diana_walker,f,10/Mar/06,cmartinez@yahoo.com,2119
40,_universidad_de_palermo,diseño_de_imagen_y_sonido,04/Sep/20,karen_chambers,f,27/Nov/07,hsalas@hotmail.com,6075
41,_universidad_de_palermo,técnico_para_bioterios_,04/Sep/20,caitlin_hudson,f,19/Feb/29,kellymorales@gmail.com,8187
42,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,04/Sep/20,sandra_foster,f,08/Dec/77,simsnicole@hotmail.com,3191
43,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,04/Sep/20,kristina_shields,f,27/Sep/20,xavierwalsh@gmail.com,6073
44,_universidad_de_palermo,diseño_de_imagen_y_sonido,04/Sep/20,richard_sullivan,m,18/Jul/61,evansjose@hotmail.com,5509
45,_universidad_de_palermo,ingeniería_electrónica,04/Sep/20,timothy_pratt,m,18/Dec/76,qwatts@gmail.com,3252
46,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,04/Sep/20,roger_barron,m,25/Feb/20,nicole29@yahoo.com,8124
47,_universidad_de_palermo,licenciatura_en_administración_,04/Sep/20,tim_peterson,m,17/Apr/24,kennethcunningham@yahoo.com,2821
48,_universidad_de_palermo,contador_público_,04/Sep/20,lisa_hurst,f,18/Nov/71,mquinn@hotmail.com,5301
49,_universidad_de_palermo,licenciatura_en_ciencia_política_,04/Sep/20,anthony_hernandez,m,10/Jan/14,stephen22@gmail.com,3230
50,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,04/Sep/20,christine_moran,f,20/Apr/13,gomezpatricia@gmail.com,7150
51,_universidad_de_palermo,ingeniería_en_informática,04/Sep/20,cheryl_lucas,f,26/Oct/63,kaylacampbell@yahoo.com,7511
52,_universidad_de_palermo,licenciatura_en_psicología,04/Sep/20,nicole_powell,f,22/May/74,annettelopez@gmail.com,8000
53,_universidad_de_palermo,agronomía,04/Sep/20,joshua_martinez,m,06/May/06,mikesanchez@gmail.com,3381
54,_universidad_de_palermo,licenciatura_en_ciencias_ambientales,04/Sep/20,carolyn_brown,f,08/Mar/18,brodriguez@yahoo.com,6431
55,_universidad_de_palermo,diseño_industrial,04/Sep/20,nathan_yates,m,07/Apr/58,ginasilva@yahoo.com,3476
56,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,04/Sep/20,catherine_williams,f,18/Feb/21,juliehenderson@gmail.com,5403
57,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,04/Sep/20,miguel_george,m,09/Sep/19,jackmcdonald@yahoo.com,3364
58,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,04/Sep/20,david_stewart,m,21/Oct/03,resparza@gmail.com,1842
59,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,04/Sep/20,olivia_murphy,f,16/Nov/96,diane98@yahoo.com,3423
60,_universidad_de_palermo,licenciatura_en_administración_,04/Sep/20,dawn_atkins,f,26/Apr/20,gavinstewart@hotmail.com,3080
61,_universidad_de_palermo,licenciatura_en_musicoterapia,05/Sep/20,leslie_hopkins,f,20/May/15,conwaylinda@gmail.com,6441
62,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,05/Sep/20,peter_wallace,m,30/Sep/97,morganwright@gmail.com,4728
63,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,05/Sep/20,luis_glover,m,10/Apr/53,dgarcia@hotmail.com,4500
64,_universidad_de_palermo,licenciatura_en_ciencia_política_,05/Sep/20,katherine_barton,f,30/Jul/60,nguyenelizabeth@yahoo.com,1881
65,_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,05/Sep/20,robert_johnson,m,05/Dec/82,matthewsjack@gmail.com,5465
66,_universidad_de_palermo,licenciatura_en_musicoterapia,05/Sep/20,julie_santiago,f,15/Sep/66,christina96@yahoo.com,7243
67,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,05/Sep/20,linda_hawkins,f,04/Nov/04,hayeshailey@gmail.com,5565
68,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,05/Sep/20,lauren_walker,f,06/Dec/03,madisonberry@hotmail.com,1804
69,_universidad_de_palermo,medicina,05/Sep/20,johnny_davis,m,31/Dec/01,iferguson@gmail.com,8201
70,_universidad_de_palermo,agronomía,05/Sep/20,wayne_clark,m,18/Jan/11,david28@gmail.com,6315
71,_universidad_de_palermo,actuario_,06/Sep/20,crystal_freeman_md,f,21/Jun/31,leemary@yahoo.com,5709
72,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,06/Sep/20,sean_taylor_dds,m,16/Dec/89,michaelboone@yahoo.com,5549
73,_universidad_de_palermo,técnico_para_bioterios_,06/Sep/20,barbara_davis,f,20/May/65,johnsonnathan@gmail.com,2200
74,_universidad_de_palermo,licenciatura_en_sociología_,06/Sep/20,seth_mcclain,m,13/Mar/16,zhoffman@gmail.com,7403
75,_universidad_de_palermo,farmacia,06/Sep/20,mariah_green,f,31/May/84,chavezlisa@gmail.com,2342
76,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,06/Sep/20,tonya_banks,f,16/Aug/53,rlawson@hotmail.com,5567
77,_universidad_de_palermo,licenciatura_en_ciencia_política_,06/Sep/20,karen_martinez,f,12/Jun/40,tammy45@yahoo.com,3309
78,_universidad_de_palermo,farmacia,07/Sep/20,kristi_burch,f,14/Dec/54,pauladams@gmail.com,6106
79,_universidad_de_palermo,licenciatura_en_ciencia_política_,07/Sep/20,jennifer_young,f,06/Jul/84,melanie43@hotmail.com,7548
80,_universidad_de_palermo,licenciatura_en_ciencias_biológicas,07/Sep/20,veronica_jones,f,24/Nov/15,anthony82@gmail.com,1627
81,_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,07/Sep/20,brent_reynolds,m,21/Mar/75,cameron77@yahoo.com,3200
82,_universidad_de_palermo,licenciatura_en_musicoterapia,07/Sep/20,elizabeth_williams,f,22/Sep/10,scott69@gmail.com,2240
83,_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,07/Sep/20,jeff_mays,m,30/Apr/34,jonathan10@hotmail.com,5759
84,_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,07/Sep/20,nathan_mccoy,m,05/Nov/91,gregory03@gmail.com,3158
85,_universidad_de_palermo,ingeniería_mecánica,07/Sep/20,margaret_crawford,f,02/Jan/78,jeremy52@hotmail.com,6101
86,_universidad_de_palermo,bioquímica,07/Sep/20,alexandra_kim,f,22/Sep/32,christopher98@gmail.com,7620
87,_universidad_de_palermo,diseño_de_imagen_y_sonido,07/Sep/20,cheryl_ali,f,23/Nov/56,louis37@hotmail.com,2101
88,_universidad_de_palermo,ingeniería_mecánica,07/Sep/20,terrence_johnson,m,06/Oct/16,barkerjason@yahoo.com,8501
89,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,07/Sep/20,joshua_fisher,m,17/Mar/21,donaldmills@hotmail.com,6660
90,_universidad_de_palermo,licenciatura_en_artes,07/Sep/20,edwin_robinson,m,30/Aug/20,davidcoleman@hotmail.com,6603
91,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,07/Sep/20,natalie_morris,f,01/Dec/05,millerkara@gmail.com,4195
92,_universidad_de_palermo,medicina,08/Sep/20,samantha_alvarez,f,22/Jun/53,dchavez@gmail.com,6213
93,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,08/Sep/20,michaela_meza,f,27/Oct/71,ramoskimberly@yahoo.com,3018
94,_universidad_de_palermo,medicina,08/Sep/20,kevin_patterson,m,26/Oct/28,abigail07@hotmail.com,7639
95,_universidad_de_palermo,licenciatura_en_ciencia_política_,08/Sep/20,stephen_fernandez,m,19/Dec/09,melaniehunter@hotmail.com,7637
96,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,08/Sep/20,crystal_hernandez,f,03/Nov/11,caitlin57@hotmail.com,8412
97,_universidad_de_palermo,diseño_de_imagen_y_sonido,08/Sep/20,katelyn_rogers,f,21/Jul/87,erika35@yahoo.com,7000
98,_universidad_de_palermo,ingeniería_electrónica,08/Sep/20,miss_janet_watson,f,27/Oct/73,marybowers@yahoo.com,8500
99,_universidad_de_palermo,licenciatura_en_sociología_,08/Sep/20,francisco_frey,m,15/Mar/68,montgomerydaniel@yahoo.com,8146
100,_universidad_de_palermo,licenciatura_en_ciencias_de_la_computación,08/Sep/20,lisa_brown,f,21/Sep/02,vhughes@gmail.com,6628
101,_universidad_de_palermo,arquitectura,08/Sep/20,james_acosta,m,29/Feb/12,gail77@hotmail.com,6319
102,_universidad_de_palermo,licenciatura_en_musicoterapia,08/Sep/20,isaac_wilson,m,19/Jul/08,tanyamarks@hotmail.com,2303
103,_universidad_de_palermo,técnico_para_bioterios_,09/Sep/20,karen_rose,f,24/May/03,blackdebra@yahoo.com,3561
104,_universidad_de_palermo,agronomía,09/Sep/20,corey_suarez,m,13/Aug/10,farmermelanie@gmail.com,7226
105,_universidad_de_palermo,licenciatura_en_musicoterapia,09/Sep/20,hannah_thornton,f,04/Jan/76,margaretcarrillo@yahoo.com,9035
106,_universidad_de_palermo,ingeniería_en_informática,09/Sep/20,morgan_taylor,f,01/Mar/29,walkermartin@gmail.com,3471
107,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,09/Sep/20,jack_weber,m,05/Feb/31,michaelestrada@yahoo.com,2760
108,_universidad_de_palermo,medicina,09/Sep/20,joshua_johnson,m,28/Oct/77,austin84@gmail.com,6531
109,_universidad_de_palermo,ingeniería_en_informática,09/Sep/20,dillon_edwards,m,23/Aug/92,xschwartz@yahoo.com,8431
110,_universidad_de_palermo,bioquímica,09/Sep/20,melissa_morris,f,12/Dec/45,johnsondonna@hotmail.com,5575
111,_universidad_de_palermo,diseño_industrial,09/Sep/20,christopher_wilson,m,08/Oct/78,jromero@gmail.com,5615
112,_universidad_de_palermo,actuario_,09/Sep/20,william_cervantes,m,16/Oct/49,brandon92@yahoo.com,1664
113,_universidad_de_palermo,ingeniería_en_informática,09/Sep/20,ivan_weaver,m,25/Sep/90,jonesrandy@hotmail.com,3557
114,_universidad_de_palermo,licenciatura_en_artes,09/Sep/20,heidi_roberts,f,27/May/92,ernest83@gmail.com,3081
115,_universidad_de_palermo,arquitectura,09/Sep/20,mary_williams,f,26/Mar/72,banksrose@hotmail.com,5386
116,_universidad_de_palermo,ingeniería_mecánica,09/Sep/20,matthew_taylor,m,03/Aug/11,shannonmiller@yahoo.com,3263
117,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,09/Sep/20,mary_carpenter,f,21/Dec/45,kenneth82@gmail.com,3318
118,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,10/Sep/20,stephanie_martin,f,16/Mar/21,cainlaura@yahoo.com,4711
119,_universidad_de_palermo,licenciatura_en_administración_,10/Sep/20,richard_young,m,17/Aug/38,ysmith@gmail.com,1849
120,_universidad_de_palermo,ingeniería_en_informática,10/Sep/20,patricia_steele,f,08/Apr/18,smendez@gmail.com,5775
121,_universidad_de_palermo,licenciatura_en_ciencia_política_,10/Sep/20,jennifer_mccann,f,03/Nov/28,sburton@yahoo.com,1741
122,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,10/Sep/20,nicholas_ford,m,11/Oct/89,patrick80@gmail.com,5598
123,_universidad_de_palermo,medicina,10/Sep/20,kevin_mann,m,01/Feb/16,inelson@yahoo.com,4726
124,_universidad_de_palermo,ingeniería_en_informática,11/Sep/20,andrew_brooks,m,23/Jan/09,tara94@yahoo.com,5621
125,_universidad_de_palermo,agronomía,11/Sep/20,mrs._wendy_coleman,f,21/Apr/92,espinozahunter@hotmail.com,5567
126,_universidad_de_palermo,licenciatura_en_ciencias_biológicas,11/Sep/20,hannah_morrow,f,12/Apr/91,jimmy60@gmail.com,8430
127,_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,11/Sep/20,angel_walls,m,28/May/14,fcooper@yahoo.com,6616
128,_universidad_de_palermo,licenciatura_en_ciencias_ambientales,11/Sep/20,robert_wilkins,m,14/Jul/69,cody88@gmail.com,5374
129,_universidad_de_palermo,licenciatura_en_ciencia_política_,11/Sep/20,warren_sexton,m,26/Apr/04,jared28@hotmail.com,7165
130,_universidad_de_palermo,diseño_de_imagen_y_sonido,11/Sep/20,kimberly_monroe_dds,f,26/Apr/00,rjones@gmail.com,8371
131,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,11/Sep/20,mrs._alicia_ayala,f,12/Aug/86,gregorychristopher@yahoo.com,2701
132,_universidad_de_palermo,licenciatura_en_psicología,11/Sep/20,mrs._sara_ryan,f,18/Apr/21,crystal80@yahoo.com,2531
133,_universidad_de_palermo,diseño_industrial,11/Sep/20,patrick_valdez,m,20/Aug/40,vaughnallison@hotmail.com,5634
134,_universidad_de_palermo,licenciatura_en_artes,11/Sep/20,tracey_williamson,f,29/Aug/71,mccarthyashley@yahoo.com,6643
135,_universidad_de_palermo,ciencias_veterinarias,12/Sep/20,steve_banks,m,06/Dec/84,davidmartinez@gmail.com,4119
136,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,12/Sep/20,melissa_gross,f,20/May/99,ashleyrichardson@yahoo.com,1763
137,_universidad_de_palermo,diseño_de_imagen_y_sonido,12/Sep/20,christine_bryant,f,27/Sep/38,dstrickland@hotmail.com,2801
138,_universidad_de_palermo,bioquímica,12/Sep/20,dominic_peters,m,01/Jan/89,beverly16@gmail.com,3337
139,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,12/Sep/20,ryan_ortega,m,23/May/56,gregoryscott@hotmail.com,2508
140,_universidad_de_palermo,licenciatura_en_artes,12/Sep/20,andrew_curtis,m,19/Oct/30,rebecca36@gmail.com,3272
141,_universidad_de_palermo,licenciatura_en_psicología,12/Sep/20,sean_houston,m,04/Jun/61,paul43@hotmail.com,7605
142,_universidad_de_palermo,farmacia,12/Sep/20,kenneth_gonzales,m,23/Nov/98,gary66@yahoo.com,6465
143,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,12/Sep/20,craig_stone,m,15/Apr/54,ysmith@gmail.com,5300
144,_universidad_de_palermo,medicina,12/Sep/20,eduardo_smith,m,23/Apr/23,parksshaun@hotmail.com,7267
145,_universidad_de_palermo,farmacia,13/Sep/20,steven_duarte,m,28/Jan/73,iwhite@hotmail.com,3433
146,_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,13/Sep/20,scott_spencer,m,20/Jun/42,qlewis@yahoo.com,2905
147,_universidad_de_palermo,medicina,13/Sep/20,william_nelson,m,30/Apr/09,smithjennifer@yahoo.com,1884
148,_universidad_de_palermo,medicina,13/Sep/20,darrell_castillo,m,24/Mar/86,jenniferjohnson@gmail.com,6430
149,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,13/Sep/20,rhonda_martinez,f,04/Mar/06,jill26@yahoo.com,6474
150,_universidad_de_palermo,licenciatura_en_ciencia_política_,13/Sep/20,brenda_cruz,f,13/Dec/35,michael66@yahoo.com,3150
151,_universidad_de_palermo,actuario_,13/Sep/20,isabella_acosta,f,26/Nov/19,lamvirginia@hotmail.com,5611
152,_universidad_de_palermo,licenciatura_en_sociología_,13/Sep/20,wendy_williams,f,26/Jun/18,carlpowell@yahoo.com,7000
153,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,13/Sep/20,jose_wright,m,10/Jun/87,elizabethcarroll@yahoo.com,9053
154,_universidad_de_palermo,licenciatura_en_artes,13/Sep/20,pamela_davidson,f,21/Aug/64,colemanfrank@yahoo.com,7503
155,_universidad_de_palermo,licenciatura_en_musicoterapia,13/Sep/20,john_stevenson,m,04/Feb/86,jamiewilliams@yahoo.com,8124
156,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,13/Sep/20,jordan_krueger,m,14/Mar/85,john20@hotmail.com,3337
157,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,13/Sep/20,david_mitchell,m,06/Aug/20,michele56@hotmail.com,3118
158,_universidad_de_palermo,ingeniería_mecánica,14/Sep/20,diane_garrett,f,01/Sep/06,kelsey02@gmail.com,3240
159,_universidad_de_palermo,agronomía,14/Sep/20,laura_fritz_md,f,20/Apr/84,robert00@yahoo.com,3187
160,_universidad_de_palermo,licenciatura_en_artes,14/Sep/20,jessica_hanson,f,27/Aug/91,frankserrano@yahoo.com,3228
161,_universidad_de_palermo,licenciatura_en_psicología,14/Sep/20,donna_herrera,f,06/Mar/80,melinda85@hotmail.com,2181
162,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,14/Sep/20,justin_gentry,m,03/Jul/14,marshallmatthew@yahoo.com,7300
163,_universidad_de_palermo,licenciatura_en_sociología_,14/Sep/20,barbara_beard,f,28/Nov/26,hillpreston@gmail.com,7207
164,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,14/Sep/20,paula_bailey,f,20/Nov/52,elizabethhumphrey@gmail.com,2521
165,_universidad_de_palermo,medicina,14/Sep/20,paul_wood,m,04/Jun/61,harristamara@hotmail.com,2179
166,_universidad_de_palermo,ciencias_veterinarias,14/Sep/20,margaret_johnson,f,14/Dec/43,kelsey50@gmail.com,8417
167,_universidad_de_palermo,licenciatura_en_psicología,14/Sep/20,amber_conway,f,06/Sep/97,aaron81@yahoo.com,3514
168,_universidad_de_palermo,agronomía,14/Sep/20,jeffrey_whitney,m,09/Feb/64,stonejames@gmail.com,7105
169,_universidad_de_palermo,ingeniería_electrónica,14/Sep/20,taylor_harper,f,25/Jun/80,simsmisty@hotmail.com,5709
170,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,14/Sep/20,paul_williams,m,31/Jan/53,kingkyle@yahoo.com,7201
171,_universidad_de_palermo,medicina,14/Sep/20,linda_ryan,f,16/May/72,jrosales@hotmail.com,7313
172,_universidad_de_palermo,farmacia,15/Sep/20,andrea_patton,f,06/May/60,cindy14@yahoo.com,3522
173,_universidad_de_palermo,agronomía,15/Sep/20,samuel_warren,m,26/Feb/34,qwalker@hotmail.com,3129
174,_universidad_de_palermo,licenciatura_en_ciencia_política_,15/Sep/20,lauren_maldonado,f,14/Oct/91,pmartinez@hotmail.com,9023
175,_universidad_de_palermo,ingeniería_electrónica,15/Sep/20,nathaniel_lane,m,17/Feb/39,ricky06@hotmail.com,5264
176,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,15/Sep/20,cynthia_grant,f,02/Nov/76,ortegaangela@gmail.com,1657
177,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,15/Sep/20,wesley_gilmore,m,23/Oct/15,crawfordjonathan@hotmail.com,3231
178,_universidad_de_palermo,arquitectura,15/Sep/20,daniel_marquez,m,08/May/89,whenson@yahoo.com,3324
179,_universidad_de_palermo,licenciatura_en_ciencias_biológicas,15/Sep/20,ryan_torres,m,23/Aug/12,qroy@gmail.com,1644
180,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,15/Sep/20,vanessa_munoz,f,10/May/32,atkinswilliam@yahoo.com,2183
181,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,15/Sep/20,kimberly_mccann,f,21/Aug/50,scott45@hotmail.com,8142
182,_universidad_de_palermo,licenciatura_en_sociología_,16/Sep/20,alexander_kelly,m,07/Jun/90,ffrench@gmail.com,8328
183,_universidad_de_palermo,licenciatura_en_ciencias_ambientales,16/Sep/20,alex_silva,m,04/Sep/06,ykent@yahoo.com,7150
184,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,16/Sep/20,erin_terry,f,11/Mar/44,colemanblake@yahoo.com,3229
185,_universidad_de_palermo,técnico_para_bioterios_,16/Sep/20,anthony_anderson,m,22/Aug/46,anthony09@yahoo.com,7541
186,_universidad_de_palermo,contador_público_,16/Sep/20,patrick_montoya,m,06/Apr/07,anthonyclark@gmail.com,5621
187,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,16/Sep/20,johnny_garrison,m,19/Aug/81,johnnunez@hotmail.com,3353
188,_universidad_de_palermo,licenciatura_en_psicología,16/Sep/20,andrea_contreras,f,18/Dec/07,jamiemiller@hotmail.com,3185
189,_universidad_de_palermo,ingeniería_mecánica,16/Sep/20,timothy_joseph,m,13/Oct/95,janetdavis@gmail.com,3318
190,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,16/Sep/20,katherine_wilkinson,f,08/Feb/80,phorton@gmail.com,4164
191,_universidad_de_palermo,licenciatura_en_administración_,17/Sep/20,jose_francis,m,05/Nov/70,shelbyconley@gmail.com,6367
192,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,17/Sep/20,daniel_davis,m,13/Sep/15,smithashley@gmail.com,2944
193,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,17/Sep/20,jimmy_calderon,m,12/Sep/96,greencharlotte@yahoo.com,7300
194,_universidad_de_palermo,diseño_de_imagen_y_sonido,17/Sep/20,megan_bowers,f,18/Sep/23,nicholsonjenny@hotmail.com,6062
195,_universidad_de_palermo,licenciatura_en_ciencia_política_,17/Sep/20,jessica_hunt,f,18/Nov/70,barbara02@gmail.com,5475
196,_universidad_de_palermo,farmacia,17/Sep/20,samantha_johnson,f,22/Nov/92,hallbradley@yahoo.com,1921
197,_universidad_de_palermo,medicina,17/Sep/20,tiffany_gonzales,f,01/Sep/93,kimberlyklein@yahoo.com,8200
198,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,17/Sep/20,valerie_adams,f,23/Nov/06,christina66@yahoo.com,3183
199,_universidad_de_palermo,licenciatura_en_ciencias_de_la_computación,17/Sep/20,lance_robinson,m,19/Oct/82,david07@yahoo.com,9013
200,_universidad_de_palermo,licenciatura_en_ciencia_política_,17/Sep/20,alexis_cisneros,f,03/Jan/81,vbeasley@yahoo.com,5381
201,_universidad_de_palermo,arquitectura,17/Sep/20,amanda_bowen,f,26/Sep/23,zduncan@hotmail.com,2340
202,_universidad_de_palermo,bioquímica,18/Sep/20,jennifer_aguirre,f,18/Mar/75,taylorkelli@hotmail.com,2905
203,_universidad_de_palermo,medicina,18/Sep/20,jerry_manning,m,09/Nov/99,ryanjohn@gmail.com,1611
204,_universidad_de_palermo,licenciatura_en_ciencia_política_,18/Sep/20,courtney_taylor,f,17/May/61,pbradley@hotmail.com,2907
