universities,careers,inscription_dates,names,sexo,birth_dates,locations,emails
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,05-10-2020,THERESA-BAKER,F,30-07-2013,IRENEO-PORTELA,BDAVIS@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,25-10-2020,STEPHANIE-MITCHELL,F,02-11-2017,CAPDEPONT,WELLSJACOB@GMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,10-11-2020,ROSS-BEAN,M,13-06-2013,COLONIA-SAN-EDUARDO,ANNA71@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,10-12-2020,BOBBY-SMITH,M,26-05-1961,AGUILARES,BRUCE09@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,01-02-2021,JOHN-COLE,M,17-12-1955,RAWSON,MMORRIS@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,23-12-2020,JAMES-CUMMINGS,M,04-08-1909,LLAVALLOL,XJOHNSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,19-11-2020,WANDA-HARRISON,F,23-11-1993,CARCARAÑA,ROBERTBAILEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,14-01-2021,AMANDA-SIMON,F,05-02-1954,LOMAS-DE-ZAMORA,LARRYMACK@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,09-10-2020,AMY-MORSE,F,27-04-1947,PALANTELEN,NANCYHORTON@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,14-11-2020,JILL-TRAN,F,11-06-1942,ARROYO-URQUIZA,GARNERCHRISTINA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,MEDICINA,13-10-2020,BRENDA-WRIGHT,F,22-04-1981,ALIANZA,FBURTON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,11-09-2020,MELISSA-DAVIS,F,19-07-1980,COLONIA-EL-SIMBOL,KSNYDER@YAHOO.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,04-10-2020,LORI-WILEY,F,24-06-1928,VILLA-RUIZ,KYLESMITH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,11-01-2021,BENJAMIN-NICHOLS,M,09-02-1948,BALCARCE,ZAVERY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,04-09-2020,AMY-SOTO,F,09-08-1930,MASUREL,BRYANTCHRISTINA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,11-01-2021,JENNIFER-PETERS,F,29-02-1980,EL-ABANICO,HHERNANDEZ@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,20-09-2020,JAMIE-WILSON,F,16-03-1985,ACEILAN,MURPHYCALEB@GMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,29-11-2020,KEVIN-MILLER,M,01-04-1950,ALTO-VERDE,SHORTMICHAEL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,05-09-2020,ISAAC-ARMSTRONG,M,10-10-1998,AEROPUERTO-EZEIZA,STEPHANIEWARD@GMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-ELECTRÓNICA,19-01-2021,REBECCA-BARNETT,F,29-04-1991,COLONIA-EGIDO,KIDDALEXIS@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,23-10-2020,SHELBY-MILLER,F,24-08-1965,BAJO-DE-LOS-HUESOS,DBURNS@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,15-12-2020,ROBERT-JOHNSON,M,01-09-1979,EL-TREBOL,STANLEY08@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,22-11-2020,PHILIP-MELTON,M,24-08-1934,AGUSTONI,BFOLEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,11-11-2020,MIKE-FOWLER,M,07-08-1938,ARROYO-SECO,STACYSANTOS@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,04-12-2020,TAMMY-COLE,F,18-03-1957,CASTELAR,KIMBENJAMIN@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ARTES,04-12-2020,JOSEPH-FISHER,M,17-03-1941,DOMSELAAR,JEREMYRODRIGUEZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,MEDICINA,20-12-2020,BRIAN-HARRIS,M,01-01-2013,BUENA-VISTA,PAULBAILEY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,27-12-2020,ALEXANDER-SHEPARD,M,29-03-1981,9-DE-JULIO-KILOMETRO-20,CHRISTOPHERSMITH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,24-11-2020,AUTUMN-SMITH,F,17-04-1941,LOS-LAURELES,KARAMCDOWELL@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PSICOLOGÍA,12-12-2020,CRAIG-BAKER,M,17-06-1939,ANTONIO-CARBONI,VHARVEY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ARTES,20-01-2021,LESLIE-DIAZ,M,02-08-2018,PUNTA-LARA,KATHLEENGREEN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,20-11-2020,KRISTIN-RUIZ,F,27-11-1908,COLONIA-REINA-MARGARITA,LMARTINEZ@YAHOO.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,01-02-2021,MICHAEL-JONES,M,24-11-1950,ASUNCION-MARIA,UJACKSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,10-01-2021,JORGE-ROSE,M,15-12-1993,COLHUE-HUAPI,JOSEPHWHITE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,23-11-2020,TRACEY-BOWERS,F,19-10-1954,PALANTELEN,DUNLAPKATRINA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,06-12-2020,NATHAN-TAYLOR,M,20-03-1925,ALMIRANTE-BROWN,MADELINECHEN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,28-12-2020,JEFFREY-CASTANEDA,M,27-01-1908,ACHICO,ANGELACORTEZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,04-09-2020,AUSTIN-SHAW,M,20-05-2019,ARROYO-PESCADO,XPITTMAN@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,31-01-2021,DR.-MARK-RIVERA-MD,M,16-08-1991,ALTO-LOS-CARDALES,HOLLANDKELSEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-AMBIENTALES,13-09-2020,MONICA-CAMPOS,F,23-06-1926,CARLOS-SALAS,KARA78@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,26-11-2020,CHAD-DUDLEY,M,26-12-1965,LA-COLINA,MSMITH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,02-09-2020,TODD-GONZALEZ,M,16-12-1976,COLONIA-JAUREGUI,GRIFFINGARY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,24-01-2021,SAMANTHA-HANSON,F,04-07-1948,ARROYO-GRANDE,MICHAEL83@YAHOO.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,27-09-2020,SCOTT-WILLIAMS,M,13-10-1979,DEL-VISO,CGARCIA@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,01-02-2021,ANN-PAGE,F,15-02-1942,COLONIA-ROCA,WHENDERSON@GMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,17-01-2021,JAMES-CASTILLO,M,28-10-2008,SAN-ISIDRO,CINDY70@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,21-01-2021,JACOB-SANCHEZ,M,29-02-1984,ALMACEN-PIATTI,KINGSARAH@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,23-01-2021,RYAN-WILLIAMS,M,20-07-1921,BARRIO-BELGRANO-ORTIZ,SHANELONG@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,17-01-2021,APRIL-MILLER,F,20-12-1974,INDACOCHEA,WSNOW@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,10-09-2020,ROGER-COOPER,M,09-04-1965,LA-CHIRLANDIA,JIMMY47@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,12-01-2021,SETH-HART,M,03-11-1990,COLONIA-NUEVA-MONTEVIDEO,URICH@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,17-10-2020,ERIC-GARRETT,M,08-08-2019,ALVAREZ,JAMESGONZALEZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,17-01-2021,CAROL-OLSON,F,15-01-1972,EL-JAGUEL,IWHITEHEAD@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,16-09-2020,ABIGAIL-RAMIREZ,F,07-12-1985,ALTO-DE-LAS-ARAÑAS,GEORGEFRANCO@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,26-01-2021,BIANCA-SMITH,F,04-09-1914,ANGELONI,JULIE12@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,08-12-2020,MR.-SCOTT-BENDER,M,01-12-1964,IGARZABAL,DROGERS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,16-01-2021,HANNAH-PARKER,F,06-10-2010,FARO-SAN-ANTONIO,CHRISTOPHERSUMMERS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,01-10-2020,ELLEN-HAYNES,F,11-12-1986,COLONIA-ABATE,MELTONASHLEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,28-01-2021,JAMES-BAKER-MD,M,29-12-1929,PUESTO-DE-ISLA,QMCDONALD@GMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,15-01-2021,DOUGLAS-CASEY,M,12-09-1993,BALCARCE,ZJOHNSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,27-09-2020,SHELBY-SMITH,F,16-05-1993,COLONIA-MONTE-LA-PLATA,NZIMMERMAN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,MEDICINA,25-10-2020,ADRIAN-MILLER,M,06-11-2019,ACHICO,MATTHEW24@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,03-09-2020,MICHAEL-MILLER,M,02-05-1924,ALTAMIRANO,CRYSTAL22@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,14-10-2020,CATHY-CARR,F,06-01-1955,ALCORTA,SARAH64@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PSICOLOGÍA,25-01-2021,GINA-FLEMING,F,04-04-1963,AGUSTONI,MCGEEKRISTIN@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,16-11-2020,KYLE-JENKINS,M,24-12-1934,EL-DURAZNO,VSOTO@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,11-11-2020,TIFFANY-HOLLAND,F,05-09-1948,AMANA,RICEMARY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,01-12-2020,STEPHEN-RODRIGUEZ,M,15-01-2008,MAORI,ANTONIOJONES@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ARTES,02-12-2020,ELIZABETH-EDWARDS,F,13-03-1979,AGUIRRE-CUE,DAVIDSONROBERT@GMAIL.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,25-11-2020,TRAVIS-DUDLEY,M,14-03-2010,GOBERNADOR-CRESPO,JUSTIN60@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,07-09-2020,SHANNON-BRADLEY,F,12-12-1921,NORDELTA,JENNIFERGARCIA@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,19-10-2020,JOHNATHAN-MORROW,M,19-01-1918,ANTA,SHAFFERLISA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,05-01-2021,MICHAEL-CROSS,M,10-01-1964,MAIPU,JOSEPHFLEMING@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,01-12-2020,STEVEN-BAKER,M,06-03-1943,CAÑADON-LEON,JGALLOWAY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,15-09-2020,CARLOS-FORD,M,23-11-1991,CRISPI,GRACECORTEZ@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,02-09-2020,EVAN-JOHNSON,M,06-09-1998,LA-CALIFORNIA,DANIEL39@GMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,08-11-2020,STEPHEN-CARRILLO,M,18-09-1960,ACASAPE,JACK34@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,20-09-2020,SCOTT-DIAZ,M,04-12-1969,20-DE-SEPTIEMBRE,KELLYKEVIN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,22-10-2020,SCOTT-HILL,M,17-05-1919,HUASA-PAMPA-NORTE,BROWNALEXANDRA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-ELECTRÓNICA,17-11-2020,VICKIE-HOPKINS,F,11-01-1935,CAMPO-YAGUARETE,ERIKLOPEZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,24-01-2021,DAWN-JACKSON,F,18-04-1947,CAÑADON-CHILENO,VARGASBONNIE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,31-01-2021,AMY-MOORE,F,25-05-1961,ALFALAD,RYAN95@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,24-10-2020,SUSAN-HOWELL,F,21-05-1978,AGRIO-BALSA,CHARLESRUSH@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,02-10-2020,BILLY-WILLIAMS,M,16-12-2005,COLONIA-ESCRIBANO,FTATE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,09-12-2020,KELLY-BLAKE,F,10-09-1948,BARRIO-EMIR-RAMON-JUAREZ,RKENNEDY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,21-11-2020,ASHLEE-SLOAN,F,03-11-2002,CAMPO-DE-LOS-TOROS,TAYLORLEONARD@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,28-10-2020,DAVID-YOUNG,M,12-09-1949,GANDOLFI,PADILLADEBRA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,17-11-2020,ANN-TAYLOR,F,02-09-1949,LA-VITICOLA,MOOREASHLEY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,04-01-2021,TAMARA-HUANG,F,31-10-1991,HUANGUELEN,SANCHEZJESSICA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,31-10-2020,KIMBERLY-DOYLE,F,19-11-1971,ASUNCION-MARIA,PARSONSTHOMAS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,26-10-2020,MARY-MILLER,F,15-05-1971,HITO-45,CASSANDRAHARRIS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,MEDICINA,19-09-2020,DUSTIN-DAVIS,M,14-09-1927,COMANDANTE-GIRIBONE,MARISSANUNEZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,26-09-2020,JAMES-HESS,M,25-01-2004,IGARZABAL,MATTHEWCONTRERAS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,20-01-2021,MICHAEL-FRYE,M,09-11-1962,COLONIA-BERTOZZI,MICHAELWHITE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,12-12-2020,JONATHAN-CASTILLO,M,25-05-1918,COLONIA-CAMPO-PIAGGIO,PHOLT@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,23-01-2021,KRISTI-OCONNOR,F,10-02-2015,BELLA-VISTA,YOUNGCYNTHIA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PSICOLOGÍA,07-11-2020,JOHN-MARKS,M,27-07-1939,LOMAS-DE-ZAMORA,ERINSUAREZ@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,23-09-2020,JESSE-ARNOLD,M,29-12-2018,ANDRADE,KRISTENBENNETT@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,24-11-2020,STEVEN-SMITH,M,31-08-1906,ARIJON,MARKROBERTS@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,28-11-2020,ALEXA-STOKES,F,12-09-2000,QUILMES-OESTE,SMITHHENRY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,11-01-2021,DONNA-SHEPHERD,F,20-08-1976,BLAS-DURAÑONA,YOUNGMICHAEL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,07-01-2021,MARGARET-SANDOVAL,F,26-05-2016,CAMPO-DE-LOS-ANDES,AMYCASEY@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,14-09-2020,PAUL-PECK,M,03-02-1956,NELSON,CESAR08@YAHOO.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,11-09-2020,CATHERINE-FLORES,F,18-02-1935,30-DE-AGOSTO,YGRAY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,18-11-2020,AMANDA-DAVIDSON,F,25-08-1967,ALTO-HUACO,JOHNSONGREGORY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,12-01-2021,MARY-MORSE,F,24-08-1979,GARRO,CABRERAJOYCE@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,21-12-2020,JEREMIAH-GUTIERREZ,M,02-06-1910,SIERRA-DE-LA-VENTANA,SANCHEZALEXANDRA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-DE-IMAGEN-Y-SONIDO,08-12-2020,LOGAN-TURNER,M,18-05-1991,VILLA-DE-MAYO,OLSONLAURA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,24-11-2020,LISA-WILLIAMSON,F,31-03-1995,ACONQUIJA,EMAY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,14-11-2020,ERICA-GARCIA,F,24-11-1989,BAJASTINE,OSBORNESTEPHEN@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,07-12-2020,SHARON-KNIGHT-MD,F,20-07-1981,EL-TALA,BENNETTVICTOR@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,15-09-2020,SARA-WEAVER,F,06-11-2009,TRUJUI,MARIO60@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,21-11-2020,MICHAEL-HARRISON,M,07-01-1909,HARAS-SAN-JACINTO,TMARTIN@HOTMAIL.COM
