universidades,carreras,fechas_de_inscripcion,nombres,sexo,fechas_nacimiento,codigos_postales,emails
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,21-Jan-27,david-wilson,m,46-Jul-02,1765,jerome17@gmail.com
universidad-de-buenos-aires,licenciatura-en-sociología-,20-Nov-23,nancy-villegas,f,91-May-24,3109,stantondavid@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,20-Dec-01,veronica-wilson,f,16-Jun-28,6601,anne74@yahoo.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Nov-21,gabriel-cameron,m,17-May-30,2760,thomas05@yahoo.com
universidad-de-buenos-aires,diseño-industrial,20-Nov-12,kelly-miller,f,72-Jul-13,5603,mclaughlinjustin@gmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,21-Jan-06,stephanie-scott,f,14-Feb-01,5770,patelbrian@yahoo.com
universidad-de-buenos-aires,ciencias-veterinarias,21-Jan-28,ms.-regina-franco,f,95-Oct-11,6703,cruzleslie@hotmail.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Dec-28,vernon-chavez,m,63-Aug-28,2202,lortiz@yahoo.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Nov-25,joseph-alexander,m,58-Sep-12,6441,kellerbruce@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,20-Oct-20,manuel-brown,m,47-Jun-12,5413,amy67@yahoo.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Oct-27,julia-young,f,45-Jun-21,6279,thomas68@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,20-Nov-17,laura-smith,f,97-Mar-13,1757,rachel35@gmail.com
universidad-de-buenos-aires,licenciatura-en-musicoterapia,20-Nov-05,megan-brown,f,95-Dec-11,7165,williamsjason@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Nov-15,jonathan-hood,m,97-Apr-27,2533,richrobert@yahoo.com
universidad-de-buenos-aires,ciencias-veterinarias,20-Oct-21,kimberly-calhoun,f,73-Dec-15,3197,hgordon@gmail.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Oct-09,troy-black,m,40-Nov-06,3474,barnesvalerie@gmail.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,20-Sep-09,gary-conner,m,41-Jan-06,3111,jason40@gmail.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,21-Jan-28,melanie-kelly,f,59-Oct-17,7408,michael61@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,20-Sep-14,joseph-wallace,m,56-Jul-25,1911,sramos@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-computación,20-Nov-16,jessica-adams,f,18-Jan-22,5533,johnreynolds@yahoo.com
universidad-de-buenos-aires,actuario-,21-Jan-05,barbara-clark,f,22-Sep-10,8536,wendy21@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Nov-16,kevin-wood,m,89-May-03,3541,mckeerobert@yahoo.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,20-Oct-26,joseph-west,m,55-Nov-23,8402,nguyenkristen@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,20-Dec-13,richard-prince,m,05-Jan-02,4740,nancy50@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Dec-23,michelle-berger-phd,f,20-Apr-02,8200,jrussell@yahoo.com
universidad-de-buenos-aires,técnico-para-bioterios-,20-Oct-29,shawn-mcclain,m,12-Nov-15,2709,megan30@yahoo.com
universidad-de-buenos-aires,licenciatura-en-sociología-,20-Dec-29,ronald-martin,m,26-Jun-20,9030,chelseatravis@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Oct-19,rachel-morgan,f,20-Jul-13,5401,mark74@yahoo.com
universidad-de-buenos-aires,licenciatura-en-sociología-,20-Nov-21,brandon-green-phd,m,29-Sep-10,5317,gomezlaura@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Oct-16,jeremy-murphy,m,77-Dec-07,2248,jessica90@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,20-Sep-07,kayla-sanchez,f,19-Aug-31,6100,madisonweaver@yahoo.com
universidad-de-buenos-aires,técnico-para-bioterios-,20-Oct-13,kristine-adkins,f,86-Oct-11,5703,shannonvelasquez@hotmail.com
universidad-de-buenos-aires,licenciatura-en-relaciones-del-trabajo-,21-Jan-14,todd-steele,m,36-Dec-01,7536,cheryl13@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Nov-13,spencer-brewer,m,33-Jul-19,3425,pearsonkimberly@gmail.com
universidad-de-buenos-aires,farmacia,20-Oct-03,debra-simmons-dds,f,85-Apr-12,8424,franciscoharrell@hotmail.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,20-Oct-05,whitney-gonzalez,f,80-Jun-20,7163,khananthony@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-computación,20-Dec-19,bethany-walsh,f,25-Nov-24,7536,ericwatkins@yahoo.com
universidad-de-buenos-aires,bioquímica,20-Dec-30,jennifer-day,f,20-Mar-23,6603,ncohen@yahoo.com
universidad-de-buenos-aires,actuario-,20-Dec-28,ryan-collins,m,08-Sep-07,8409,hudsonjulie@gmail.com
universidad-de-buenos-aires,licenciatura-en-musicoterapia,20-Sep-20,timothy-carey,m,18-Dec-04,8206,jeremyporter@gmail.com
universidad-de-buenos-aires,ingeniería-en-informática,21-Jan-07,julie-davis,f,02-Sep-26,7119,brownchris@hotmail.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-29,david-soto,m,07-Jun-20,2326,powersdavid@hotmail.com
universidad-de-buenos-aires,ciencias-veterinarias,20-Sep-13,sean-kelly,m,17-Jun-26,6380,kempcrystal@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Oct-07,victoria-gomez,f,08-May-03,1744,jacobheath@yahoo.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,20-Sep-29,donna-blackwell,f,93-Jan-19,6071,crystal07@gmail.com
universidad-de-buenos-aires,actuario-,20-Nov-10,james-bright,m,15-May-02,2848,joseph67@gmail.com
universidad-de-buenos-aires,ingeniería-mecánica,21-Jan-29,emma-lee,f,08-Mar-05,3316,john29@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,20-Dec-17,christina-little,f,48-Apr-08,1731,foxnicholas@yahoo.com
universidad-de-buenos-aires,medicina,20-Oct-21,amber-robinson,f,53-Jul-06,2812,zacharymyers@gmail.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Dec-01,cynthia-garcia,f,63-Jun-23,1889,tracymorales@hotmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Oct-27,yolanda-williams,f,29-Apr-14,3522,dennisglover@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,20-Dec-28,john-chen,m,98-Apr-28,2305,donovanheidi@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Nov-27,shawn-larson,m,06-Mar-05,9121,urose@hotmail.com
universidad-de-buenos-aires,medicina,20-Dec-08,linda-gonzalez,f,11-Feb-17,3511,wendyhill@hotmail.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,21-Jan-16,thomas-johnson,m,05-Mar-24,8311,christinezhang@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,20-Nov-10,olivia-taylor,f,20-Jun-21,5529,rodney64@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Dec-06,michael-ashley,m,54-Jun-14,3085,julie24@yahoo.com
universidad-de-buenos-aires,licenciatura-en-relaciones-del-trabajo-,20-Oct-20,nina-flores,f,02-Jun-01,3371,sarahfleming@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,21-Jan-23,karen-arnold,f,92-Oct-06,6058,xmurray@gmail.com
universidad-de-buenos-aires,bioquímica,20-Sep-12,sarah-parrish,f,55-Jul-30,5517,bmitchell@hotmail.com
universidad-de-buenos-aires,agronomía,21-Jan-07,valerie-brown,f,40-Sep-27,8115,smithsean@hotmail.com
universidad-de-buenos-aires,diseño-industrial,20-Sep-22,kimberly-davis,f,02-Nov-22,3153,braymelinda@hotmail.com
universidad-de-buenos-aires,ingeniería-electrónica,20-Sep-30,eddie-johnson,m,23-Nov-13,7263,christopher08@hotmail.com
universidad-de-buenos-aires,licenciatura-en-sociología-,20-Nov-23,wendy-warren,f,46-Sep-02,8185,mooreruben@yahoo.com
universidad-de-buenos-aires,actuario-,20-Sep-04,joseph-kelly,m,47-Jan-21,1905,sharon19@gmail.com
universidad-de-buenos-aires,arquitectura,20-Nov-02,anthony-mckinney,m,68-Jul-23,2105,christophernichols@hotmail.com
universidad-de-buenos-aires,ciencias-veterinarias,20-Dec-28,angela-williams,f,11-May-22,6326,sonya75@gmail.com
universidad-de-buenos-aires,licenciatura-en-musicoterapia,20-Sep-15,sabrina-carter,f,93-Sep-24,5773,antonio29@gmail.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Oct-17,david-williams,m,52-Nov-03,7240,sandrajohnson@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,21-Jan-11,margaret-mcpherson,f,20-Mar-16,4182,smithanthony@hotmail.com
universidad-de-buenos-aires,ciencias-veterinarias,21-Jan-26,mary-mann,f,36-Apr-25,6641,jacquelinehensley@gmail.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,21-Jan-18,kristen-alvarez,f,17-Jun-21,3507,allensara@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,21-Jan-02,joshua-norris,m,31-Jan-11,6228,donald49@yahoo.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Oct-14,tina-richardson,f,87-Jul-23,6640,katherineprice@gmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Sep-01,terry-dixon,f,13-Mar-23,6646,jerry32@yahoo.com
universidad-de-buenos-aires,ingeniería-electrónica,20-Dec-28,holly-price,f,82-Aug-09,8303,ashleybauer@gmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Dec-05,john-hill,m,74-Jun-04,3476,jennifercurtis@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,20-Dec-08,nathaniel-mitchell,m,16-Mar-24,3226,calhounmichael@hotmail.com
universidad-de-buenos-aires,licenciatura-en-musicoterapia,20-Dec-26,james-brooks,m,79-Oct-08,4542,masondavid@yahoo.com
universidad-de-buenos-aires,contador-público-,20-Sep-13,daniel-chandler,m,18-Jul-20,6078,dawnesparza@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,21-Jan-07,michael-mccoy,m,06-Dec-03,7407,holly78@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,20-Nov-19,logan-freeman,m,44-May-28,4000,thompsonsteven@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Oct-16,jason-cohen,m,06-Jun-20,1741,nancyryan@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Dec-29,vanessa-perez,f,50-Dec-31,9315,kathleencasey@gmail.com
universidad-de-buenos-aires,farmacia,20-Oct-08,matthew-olson,m,15-Dec-11,3046,garyhudson@gmail.com
universidad-de-buenos-aires,bioquímica,20-Oct-04,angel-villegas,f,10-Nov-10,3514,davischarles@gmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Dec-04,jeremy-snyder,m,33-May-12,3451,tthomas@yahoo.com
universidad-de-buenos-aires,contador-público-,20-Sep-05,stephanie-hernandez,f,15-Mar-19,6721,kramerterri@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,20-Nov-24,javier-thomas,m,74-Mar-11,8127,oanderson@hotmail.com
universidad-de-buenos-aires,ingeniería-electrónica,20-Dec-14,jodi-coleman,f,15-Jan-20,7301,gatkinson@gmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Sep-18,lisa-paul,f,75-Jan-05,4144,johnsoneric@hotmail.com
universidad-de-buenos-aires,licenciatura-en-sociología-,20-Nov-08,kelly-walker,m,28-May-17,5345,hermandwayne@gmail.com
universidad-de-buenos-aires,licenciatura-en-planificación-y-diseño-del-paisaje,20-Oct-01,mr.-eric-ochoa,m,96-Jun-15,8416,tatejonathan@yahoo.com
universidad-de-buenos-aires,medicina,20-Sep-29,taylor-rodriguez,f,76-Nov-29,2909,millertammy@hotmail.com
universidad-de-buenos-aires,diseño-industrial,20-Sep-16,mr.-anthony-davenport-md,m,05-Aug-25,3212,miranda35@yahoo.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,20-Nov-28,bridget-frank,f,80-Apr-28,2255,danielpena@gmail.com
universidad-de-buenos-aires,licenciatura-en-relaciones-del-trabajo-,21-Jan-13,rachael-krause,f,35-Feb-16,1612,torresbrandon@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Nov-19,john-love,m,94-Jan-23,5730,carlsonrodney@yahoo.com
universidad-de-buenos-aires,ciencias-veterinarias,20-Dec-03,kenneth-farmer,m,73-Aug-24,3313,hwilliams@gmail.com
universidad-de-buenos-aires,ciencias-veterinarias,20-Sep-14,sharon-harris,f,11-Feb-20,3244,curtis80@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Oct-28,karen-johnson,f,55-Aug-27,8136,caroline40@gmail.com
universidad-de-buenos-aires,licenciatura-en-planificación-y-diseño-del-paisaje,20-Oct-03,david-quinn,m,90-Jul-21,5425,longtina@yahoo.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,20-Dec-17,chase-wallace,m,87-Apr-25,1871,jill87@gmail.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-27,karen-hill,f,60-Jun-12,5343,pamelaanderson@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Nov-11,maria-campos,f,58-Jan-03,4724,stephanieevans@yahoo.com
universidad-de-buenos-aires,ingeniería-electrónica,20-Nov-18,adrian-strickland,m,74-Sep-28,6723,katie67@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,21-Jan-11,andrew-lin,m,16-Feb-02,6073,theresa10@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Dec-27,christopher-nelson,m,02-Dec-18,3036,diane11@yahoo.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,20-Oct-02,eric-velasquez,m,58-Apr-19,7247,robertenglish@hotmail.com
universidad-de-buenos-aires,licenciatura-en-planificación-y-diseño-del-paisaje,21-Jan-19,kevin-ortiz,m,09-Nov-06,4411,sarahoward@gmail.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Dec-22,kelly-reyes,f,93-Jun-09,1836,robertszachary@hotmail.com
universidad-de-buenos-aires,agronomía,21-Jan-05,jacob-hill,m,46-Jul-16,3461,samueldavis@yahoo.com
universidad-de-buenos-aires,técnico-para-bioterios-,20-Dec-17,erik-valencia,m,46-Jul-31,1858,jacobsonmonica@yahoo.com
universidad-de-buenos-aires,licenciatura-en-musicoterapia,20-Dec-24,douglas-webster,m,44-Nov-26,3109,whitecassandra@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Oct-21,ricardo-hall,m,79-May-19,7119,udavis@hotmail.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Nov-12,melanie-smith-dds,f,85-May-23,1838,xaguilar@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Oct-04,marissa-adams,f,95-Sep-12,9225,lucasrowland@gmail.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Sep-19,brian-thompson,m,88-Nov-19,1702,matthew34@hotmail.com
