Unnamed: 0	university	career	inscription_date	first_name	last_name	gender	age	postal_code	email	location
59	universidad de morón	licenciatura en ciencias geológicas	2020-05-03	chad	fletcher	male	76	3511	barkermelissa@gmail.com	colonia coronel dorrego
60	universidad de morón	licenciatura en relaciones del trabajo	2020-11-16	evan	reynolds	male	101	9220	vhernandez@gmail.com	cañadon la madera
61	universidad de morón	licenciatura en planificación y diseño del paisaje	2020-10-18	mr.	marquez	male	71	4413	jeffreyharris@gmail.com	catua
62	universidad de morón	bioquímica	2020-07-02	jessica	johnson	female	95	6530	nwalker@yahoo.com	carlos casares
63	universidad de morón	licenciatura en ciencia política	2020-07-13	bobby	lee	male	49	4743	sotodavid@hotmail.com	aconquija
64	universidad de morón	licenciatura en ciencias de la educación	2020-11-29	bonnie	thompson	female	109	5721	kelly30@hotmail.com	agua seballe
65	universidad de morón	licenciatura en ciencia política	2020-05-05	mary	hanson	female	70	7000	nlopez@yahoo.com	cantera aguirre
66	universidad de morón	licenciatura en psicología	2020-11-24	adam	preston	male	8	5367	jennifer53@yahoo.com	cachiyuyal
67	universidad de morón	ingeniería mecánica	2021-01-02	deborah	barrett	female	75	5605	jarvisstephanie@gmail.com	calle larga vieja
68	universidad de morón	farmacia	2020-09-14	jasmine	md	female	31	2200	danataylor@yahoo.com	las quintas
69	universidad de morón	contador público	2020-02-06	james	smith	male	98	1657	rperry@yahoo.com	11 de septiembre
70	universidad de morón	licenciatura en planificación y diseño del paisaje	2020-09-05	patricia	nguyen	female	101	1731	robert16@yahoo.com	villars
71	universidad de morón	actuario	2020-05-30	joshua	ryan	male	28	5711	johnsonbailey@gmail.com	angelita
72	universidad de morón	bioquímica	2020-03-22	angie	roberts	female	115	5595	danielreynolds@yahoo.com	cupiles
73	universidad de morón	licenciatura en relaciones del trabajo	2020-03-11	janet	pineda	female	92	9213	taylormegan@yahoo.com	cañadon caliente
74	universidad de morón	licenciatura en kinesiología y fisiatría	2020-08-22	frances	barrett	female	92	6213	burnsjohnny@yahoo.com	lote 11 escuela 107
75	universidad de morón	medicina	2020-01-30	pamela	gonzalez	female	12	8172	ricardogarcia@yahoo.com	arroyo corto
76	universidad de morón	agronomía	2020-12-05	darren	owens	male	53	5381	fritzbrandon@gmail.com	bella vista
77	universidad de morón	medicina	2020-03-23	kenneth	hart	male	111	3038	branchscott@hotmail.com	cayastacito
78	universidad de morón	ingeniería en informática	2020-03-03	john	lowe	male	34	7001	hmorris@yahoo.com	la pastora
79	universidad de morón	licenciatura en artes	2020-07-28	antonio	carlson	male	95	5527	bdavis@yahoo.com	colonia santa teresa
80	universidad de morón	arquitectura	2020-07-27	matthew	payne	male	74	8208	murphyvanessa@yahoo.com	campo cicare
81	universidad de morón	licenciatura en planificación y diseño del paisaje	2020-09-16	oscar	morrison	male	35	5609	steven91@gmail.com	aristides villanueva
82	universidad de morón	licenciatura en artes	2020-11-16	jennifer	romero	female	99	8422	leonwesley@gmail.com	aguada de piedra
83	universidad de morón	licenciatura en terapia ocupacional	2020-04-04	chase	goodman	male	47	4701	nelsonsandra@yahoo.com	acostilla
84	universidad de morón	ingeniería electrónica	2020-12-06	elijah	lewis	male	47	3443	jacqueline22@yahoo.com	colonia mendez bar
85	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-02-06	patrick	cole	male	40	1757	jeffreylindsey@gmail.com	gregorio de laferrere
86	universidad de morón	arquitectura	2020-09-23	amber	leblanc	female	4	6326	rodriguezcarol@gmail.com	anguil
87	universidad de morón	ingeniería electrónica	2020-07-27	karen	moon	female	50	9007	amalone@gmail.com	el jaguel
88	universidad de morón	licenciatura en ciencias ambientales	2020-03-08	kaitlyn	thompson	female	106	6333	mmiller@gmail.com	alfredo peña
89	universidad de morón	ingeniería electrónica	2020-11-24	michelle	nelson	female	16	3487	wendyhenry@gmail.com	puesto de isla
90	universidad de morón	medicina	2020-07-27	elaine	cook	female	81	6241	larry22@hotmail.com	el dia
91	universidad de morón	licenciatura en ciencias geológicas	2020-09-24	april	taylor	female	42	7543	melanietorres@hotmail.com	la primavera
92	universidad de morón	licenciatura en ciencia política	2020-05-12	christina	cannon	female	9	2740	pattersonsarah@yahoo.com	almacen la colina
93	universidad de morón	licenciatura en artes	2020-06-13	ana	miller	female	28	1864	perezjessica@hotmail.com	alejandro korn
94	universidad de morón	ingeniería mecánica	2020-09-09	david	martinez	male	94	5612	davidsloan@gmail.com	valle de las leñas
95	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-06-23	bryan	drake	male	26	4728	teresajohnson@yahoo.com	chumbicha
96	universidad de morón	licenciatura en psicología	2020-11-30	steven	gray	male	14	7241	joshuafox@hotmail.com	la porteña
97	universidad de morón	licenciatura en musicoterapia	2020-10-29	jessica	mitchell	female	40	6216	xroman@gmail.com	bagual
98	universidad de morón	licenciatura en administración	2020-06-09	dr.	anderson	female	41	6319	jamespamela@hotmail.com	carro quemado
99	universidad de morón	licenciatura en ciencias ambientales	2020-10-16	david	ray	male	62	5424	suzannegutierrez@gmail.com	villa lerga
100	universidad de morón	licenciatura en kinesiología y fisiatría	2020-10-21	michael	watson	male	85	7303	emiller@hotmail.com	altona
101	universidad de morón	licenciatura en planificación y diseño del paisaje	2020-05-21	alexander	ramos	male	72	3066	jason21@yahoo.com	campo garay
102	universidad de morón	agronomía	2020-07-14	joshua	miller	male	80	6708	robert71@gmail.com	colonia nac de alienados
103	universidad de morón	diseño industrial	2020-09-17	mary	phillips	female	46	1665	shahcindy@yahoo.com	jose clemente paz
104	universidad de morón	licenciatura en artes	2020-03-28	thomas	smith	male	45	2113	michelleturner@gmail.com	peyrano
105	universidad de morón	ingeniería en informática	2020-10-11	evelyn	wilson	female	69	1854	christophercabrera@hotmail.com	longchamps
106	universidad de morón	licenciatura en ciencia política	2020-01-20	clayton	montoya	male	88	5722	michael38@gmail.com	acasape
107	universidad de morón	licenciatura en ciencia política	2020-11-06	michael	md	male	73	1923	brooksryan@gmail.com	arroyo del pescado
108	universidad de morón	licenciatura en musicoterapia	2020-03-21	cindy	johnson	female	0	8174	christopher47@gmail.com	arroyo aguas blancas
109	universidad de morón	licenciatura en ciencias biológicas	2020-12-16	brendan	harris	male	35	7226	zbarr@yahoo.com	gorchs
110	universidad de morón	licenciatura en producción de bioimagenes	2020-05-11	lucas	sanders	male	53	7505	andrewwallace@gmail.com	balneario claromeco
111	universidad de morón	ingeniería electrónica	2020-01-15	kevin	watkins	male	35	4411	tmclaughlin@hotmail.com	sey
112	universidad de morón	licenciatura en ciencias biológicas	2020-04-12	karen	smith	female	98	6628	prestonamy@hotmail.com	colonia zambungo
113	universidad de morón	medicina	2020-06-12	jacob	morgan	male	35	3371	rodriguezdavid@gmail.com	cabure
114	universidad de morón	licenciatura en terapia ocupacional	2020-08-10	rebecca	hill	female	21	6600	fernandezlarry@yahoo.com	kilometro 125
115	universidad de morón	licenciatura en musicoterapia	2020-08-14	brittany	miller	female	97	1739	davisangela@gmail.com	general hornos
116	universidad de morón	diseño industrial	2020-04-18	darlene	garcia	female	36	5359	dwalker@yahoo.com	alto jaguel
117	universidad de morón	licenciatura en psicología	2020-06-19	amanda	kennedy	female	11	5549	darrell66@hotmail.com	agua de los manantiales
118	universidad de morón	licenciatura en producción de bioimagenes	2020-08-22	james	fry	male	24	4139	saraalvarez@gmail.com	agua amarilla la hoyada
119	universidad de morón	ingeniería electrónica	2020-02-04	curtis	rodriguez	male	76	4724	delgadogregory@hotmail.com	agua colorada
120	universidad de morón	diseño industrial	2020-11-28	david	alexander	male	105	1856	ashley99@hotmail.com	glew
121	universidad de morón	licenciatura en psicología	2020-07-29	susan	marshall	female	90	6345	xcortez@hotmail.com	la bilbaina
122	universidad de morón	licenciatura en ciencias de la educación	2020-04-08	amy	nguyen	female	69	1723	holly79@hotmail.com	mariano acosta
123	universidad de morón	licenciatura en ciencias antropológicas	2020-05-25	emily	beard	female	94	2440	gonzalezjames@gmail.com	barrio belgrano ortiz
124	universidad de morón	licenciatura en artes	2020-12-30	zachary	harrison	male	90	7311	kryan@gmail.com	chillar
125	universidad de morón	actuario	2020-06-05	jimmy	rodriguez	male	37	4117	cdavidson@gmail.com	alabama
126	universidad de morón	bioquímica	2020-11-08	tonya	dvm	female	104	7513	rburns@hotmail.com	adolfo gonzales chaves
127	universidad de morón	licenciatura en sociología	2020-05-31	anthony	palmer	male	54	5438	bgonzalez@yahoo.com	alto de sierra
128	universidad de morón	licenciatura en sociología	2020-10-19	brian	brown	male	39	6407	elizabethgray@gmail.com	girodias
129	universidad de morón	licenciatura en kinesiología y fisiatría	2020-08-19	bethany	gray	female	59	5340	hebertmelanie@gmail.com	agua grande
130	universidad de morón	licenciatura en ciencias geológicas	2020-07-23	debra	ball	female	50	6305	kristenjames@yahoo.com	atreuco
131	universidad de morón	diseño de imagen y sonido	2020-10-08	seth	nichols	male	52	5419	millerelizabeth@yahoo.com	baños de la laja
132	universidad de morón	licenciatura en administración	2020-07-14	tracy	brown	female	42	1746	aliciajohnson@yahoo.com	francisco alvarez
133	universidad de morón	licenciatura en psicología	2020-12-20	joshua	moore	male	2	8418	danielmarc@yahoo.com	anecon chico
134	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-11-27	william	hodge	male	102	7530	jamie41@hotmail.com	coronel pringles
135	universidad de morón	ciencias veterinarias	2020-05-21	vanessa	becker	female	9	3127	zrollins@gmail.com	alcete
136	universidad de morón	licenciatura en ciencia política	2020-12-30	kevin	beard	male	24	1643	ddavis@gmail.com	beccar
137	universidad de morón	licenciatura en ciencias de la computación	2020-03-18	luis	yates	male	56	3244	ehiggins@hotmail.com	colonia belga americana
138	universidad de morón	licenciatura en ciencias biológicas	2020-11-30	lori	holland	female	38	3472	hamiltonjoseph@hotmail.com	caaguazu
139	universidad de morón	licenciatura en gestión de agroalimentos	2020-08-22	paul	wu	male	4	3072	danielnichols@yahoo.com	la lucila
140	universidad de morón	actuario	2020-07-21	frances	hale	female	97	5400	gibsonscott@gmail.com	desamparados
141	universidad de morón	licenciatura en ciencias biológicas	2020-10-02	jacqueline	carlson	female	21	1646	jhoward@hotmail.com	san fernando
142	universidad de morón	bioquímica	2020-02-21	lance	lewis	male	116	2185	daviskimberly@hotmail.com	campo crenna
143	universidad de morón	licenciatura en administración	2020-03-31	mary	carney	female	37	1741	daniel49@gmail.com	enrique fynn
144	universidad de morón	licenciatura en planificación y diseño del paisaje	2020-11-08	joel	lindsey	male	35	8150	onewton@gmail.com	campo la lima
145	universidad de morón	licenciatura en ciencias de la educación	2020-02-27	jessica	jimenez	female	22	8203	fdavis@gmail.com	la chirlandia
146	universidad de morón	licenciatura en psicología	2020-04-19	patricia	scott	female	2	2324	ocollins@gmail.com	colonia tacurales
147	universidad de morón	agronomía	2020-09-14	norman	stein	male	98	9011	zmiller@gmail.com	bahia langara
148	universidad de morón	licenciatura en ciencias antropológicas	2020-11-23	thomas	small	male	76	5446	kimberlykelly@gmail.com	balde de leyes
149	universidad de morón	licenciatura en gestión de agroalimentos	2020-07-16	theresa	lee	female	51	3112	richardsonvanessa@yahoo.com	colonia loma negra
150	universidad de morón	licenciatura en relaciones del trabajo	2020-11-25	andrea	cunningham	female	93	3304	ogilbert@hotmail.com	barrio don santiago
151	universidad de morón	licenciatura en producción de bioimagenes	2020-12-10	andrea	white	female	4	5607	younglarry@yahoo.com	colonia bombal y tabanera
152	universidad de morón	licenciatura en sociología	2020-06-09	kyle	singh	male	90	5730	gstafford@hotmail.com	20 de febrero
153	universidad de morón	licenciatura en ciencias antropológicas	2020-03-02	sonya	walter	female	97	2204	mboyd@hotmail.com	jesus maria
154	universidad de morón	arquitectura	2020-06-20	jerome	lara	male	71	8134	karenrichardson@hotmail.com	argerich
155	universidad de morón	diseño industrial	2020-05-12	steven	mccarty	male	97	3218	owright@gmail.com	arroyo palmar
156	universidad de morón	diseño industrial	2020-08-21	austin	martinez	male	86	5620	manuellong@gmail.com	el juncalito
157	universidad de morón	licenciatura en sociología	2020-09-20	sheri	ballard	female	85	4716	paul19@yahoo.com	amadores
158	universidad de morón	ingeniería electrónica	2020-08-02	chelsea	brown	female	11	5730	noahrobinson@hotmail.com	20 de febrero
159	universidad de morón	bioquímica	2020-07-03	jeffery	clark	male	5	8319	henrymurphy@yahoo.com	campamento sol
160	universidad de morón	licenciatura en ciencias antropológicas	2020-02-19	julie	gomez	female	100	8512	kennethhanson@yahoo.com	igarzabal
161	universidad de morón	arquitectura	2020-12-21	rebecca	grant	female	83	6009	mccarthytheresa@gmail.com	san marcelo
162	universidad de morón	arquitectura	2020-12-03	sharon	salinas	female	7	4134	amber35@hotmail.com	acheral
163	universidad de morón	licenciatura en ciencias de la computación	2020-06-08	roger	crosby	male	76	6239	jonathan22@hotmail.com	gonzalez moreno
164	universidad de morón	farmacia	2020-10-04	matthew	greer	male	13	3557	qhorne@hotmail.com	caraguatay
165	universidad de morón	farmacia	2020-02-03	leslie	perry	female	15	5589	kellyford@hotmail.com	chapanay
166	universidad de morón	licenciatura en ciencia política	2020-04-28	amy	kirby	female	105	3733	lisa58@hotmail.com	campo el jacaranda
167	universidad de morón	arquitectura	2020-09-16	nichole	rogers	female	72	8122	fgarza@yahoo.com	la viticola
168	universidad de morón	licenciatura en musicoterapia	2020-01-27	anna	cole	female	73	8332	thomastaylor@gmail.com	colonia rusa
169	universidad de morón	licenciatura en gestión de agroalimentos	2020-08-30	colleen	williams	female	71	5711	fbeck@gmail.com	angelita
170	universidad de morón	licenciatura en ciencias antropológicas	2021-01-02	brian	graham	male	63	6303	amy95@yahoo.com	cachirulo
171	universidad de morón	licenciatura en terapia ocupacional	2020-04-15	mary	mccoy	female	60	6018	hamiltonjames@gmail.com	colonia los bosques
172	universidad de morón	técnico para bioterios	2020-08-15	sheri	keller	female	88	3560	ryanbeard@gmail.com	campo ubajo
173	universidad de morón	licenciatura en sociología	2020-10-16	sabrina	moran	female	115	2146	fyates@gmail.com	clason
174	universidad de morón	licenciatura en artes	2020-08-13	tammy	mccormick	female	15	1748	djones@hotmail.com	general rodriguez
175	universidad de morón	farmacia	2020-11-23	michelle	hernandez	female	30	8129	georgemary@gmail.com	17 de agosto
176	universidad de morón	ingeniería electrónica	2020-11-17	micheal	martinez	male	84	9313	jillian10@yahoo.com	cara mala
177	universidad de morón	ciencias veterinarias	2020-01-29	mark	smith	male	29	6305	spotter@yahoo.com	atreuco
178	universidad de morón	ingeniería electrónica	2020-08-01	shannon	branch	female	15	7106	mtorres@gmail.com	las toninas
179	universidad de morón	licenciatura en ciencias biológicas	2020-10-27	aaron	leonard	male	24	6667	hernandezmichael@gmail.com	agustin mosconi
180	universidad de morón	diseño de imagen y sonido	2020-04-22	joseph	howard	male	110	5637	valerie36@gmail.com	30 de octubre
181	universidad de morón	licenciatura en psicología	2020-11-05	anita	kramer	female	92	2943	tblack@hotmail.com	ireneo portela
182	universidad de morón	actuario	2020-06-09	pam	mcdowell	female	78	7301	bradley81@hotmail.com	ariel
183	universidad de morón	farmacia	2020-08-16	james	phillips	male	62	8133	waltermariah@hotmail.com	la rosa
184	universidad de morón	licenciatura en gestión de agroalimentos	2020-02-04	carly	king	female	5	2942	danielrice@gmail.com	baradero
185	universidad de morón	diseño de imagen y sonido	2020-05-06	lisa	douglas	female	10	4155	matthewpalmer@hotmail.com	cevil grande
186	universidad de morón	técnico para bioterios	2020-04-23	xavier	moore	male	1	6000	gabrielsandoval@hotmail.com	barrio carosio
187	universidad de morón	licenciatura en relaciones del trabajo	2020-03-21	nathan	lucas	male	113	6221	jacobbell@hotmail.com	ceballos
188	universidad de morón	arquitectura	2020-10-22	catherine	key	female	92	5265	megan37@hotmail.com	agua los matos
189	universidad de morón	licenciatura en ciencias biológicas	2020-11-12	kara	sellers	female	27	6553	shahjordan@gmail.com	la torrecita
190	universidad de morón	diseño industrial	2020-12-29	marilyn	roach	female	7	7265	hancockmelissa@gmail.com	cazon
191	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-09-29	andrew	vargas	male	67	3014	laurenthompson@hotmail.com	angel gallardo
192	universidad de morón	bioquímica	2020-02-16	krystal	martin	female	28	5579	smithwhitney@yahoo.com	barrio lencina
193	universidad de morón	arquitectura	2020-05-19	carlos	stewart	male	110	2252	ramosjordan@yahoo.com	colonia campo piaggio
194	universidad de morón	actuario	2020-05-08	phillip	gonzalez	male	101	5555	agreen@hotmail.com	puente del inca
195	universidad de morón	ciencias veterinarias	2020-01-26	christina	brown	female	3	5555	dylanhooper@hotmail.com	puente del inca
196	universidad de morón	diseño industrial	2020-02-20	matthew	wells	male	85	3586	fosterkatherine@gmail.com	campo yaguarete
197	universidad de morón	técnico para bioterios	2020-04-21	brenda	bryant	female	87	6727	selliott@yahoo.com	gouin
198	universidad de morón	licenciatura en administración	2020-11-14	christopher	bradley	male	31	1653	williamslynn@hotmail.com	villa ballester
199	universidad de morón	diseño de imagen y sonido	2020-04-07	christopher	daniels	male	86	6501	ztran@hotmail.com	12 de octubre
200	universidad de morón	licenciatura en musicoterapia	2021-01-02	stephanie	allen	female	114	3272	grios@yahoo.com	colonia 1 de mayo
201	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-05-19	anthony	blankenship	male	72	6000	edward05@yahoo.com	barrio carosio
202	universidad de morón	ingeniería en informática	2020-12-20	dylan	jones	male	98	1768	joseward@hotmail.com	ciudad madero
203	universidad de morón	agronomía	2020-02-18	anthony	morris	male	39	1771	romeroreginald@yahoo.com	mercado central
204	universidad de morón	ingeniería electrónica	2020-01-19	tanya	harrison	female	74	4724	rday@hotmail.com	agua colorada
205	universidad de morón	licenciatura en ciencias de la computación	2020-03-27	sarah	fuller	female	59	7307	angelahernandez@gmail.com	crotto
206	universidad de morón	arquitectura	2020-12-25	benjamin	taylor	male	83	5301	vangryan@gmail.com	agua blanca
207	universidad de morón	técnico para bioterios	2020-03-09	theresa	evans	female	4	2914	fieldsjohn@yahoo.com	costa brava
208	universidad de morón	licenciatura en musicoterapia	2020-03-15	kyle	george	male	2	1815	timothy29@hotmail.com	escuela agricola don bosco
209	universidad de morón	ciencias veterinarias	2020-11-29	terry	herman	male	71	2345	gonzalezjared@yahoo.com	campo botto
210	universidad de morón	actuario	2020-08-22	christopher	mclean	male	13	6228	foxjames@yahoo.com	aguas buenas
211	universidad de morón	contador público	2020-06-18	jill	allen	female	36	6441	carlos42@hotmail.com	colonia baron hirsch
212	universidad de morón	licenciatura en ciencias de la educación	2020-12-16	willie	mitchell	male	50	2919	jholmes@hotmail.com	copacabana
213	universidad de morón	licenciatura en ciencias de la educación	2020-12-10	anthony	nichols	male	112	5537	cmiller@gmail.com	algarrobito
214	universidad de morón	licenciatura en producción de bioimagenes	2020-05-26	dr.	hicks	female	35	4235	woodterri@yahoo.com	albigasta
215	universidad de morón	ciencias veterinarias	2020-06-30	anne	butler	female	75	3569	dcabrera@yahoo.com	barros pazos
216	universidad de morón	licenciatura en ciencias de la computación	2020-03-27	jose	cox	male	76	4113	ubuchanan@hotmail.com	acostilla
217	universidad de morón	licenciatura en gestión de agroalimentos	2020-06-24	linda	summers	female	86	5365	reeseelizabeth@hotmail.com	el jumeal
218	universidad de morón	licenciatura en gestión de agroalimentos	2020-05-15	ashley	gardner	female	105	6311	vwilliams@gmail.com	campo de los toros
219	universidad de morón	licenciatura en musicoterapia	2020-07-30	victoria	acosta	female	59	3281	kevinrosario@hotmail.com	calera
220	universidad de morón	diseño de imagen y sonido	2020-10-26	ashley	davis	female	82	1768	martinezdana@hotmail.com	ciudad madero
221	universidad de morón	ingeniería en informática	2020-12-11	darryl	boyd	male	94	2603	olivialee@gmail.com	chapuy
222	universidad de morón	licenciatura en sociología	2020-05-29	benjamin	love	male	30	8366	gonzalezchristian@yahoo.com	chelforo
223	universidad de morón	licenciatura en ciencias de la computación	2020-02-23	jasmine	reed	female	90	1774	echandler@gmail.com	la salada
224	universidad de morón	licenciatura en administración	2020-03-26	randy	martinez	male	29	3403	psanchez@gmail.com	aguirre cue
225	universidad de morón	licenciatura en ciencias ambientales	2020-07-28	daniel	rodriguez	male	58	3466	whobbs@yahoo.com	abalo
226	universidad de morón	técnico para bioterios	2020-02-25	christy	middleton	female	27	3155	bowmanheather@yahoo.com	costa del nogoya
227	universidad de morón	licenciatura en ciencias de la educación	2020-06-16	eric	white	male	85	3045	clong@yahoo.com	campo zavalla
228	universidad de morón	agronomía	2020-02-27	james	shaw	male	56	5438	tyrone19@yahoo.com	alto de sierra
229	universidad de morón	licenciatura en ciencia política	2020-10-24	brian	anderson	male	52	1828	leslierobinson@yahoo.com	banfield
230	universidad de morón	actuario	2020-08-23	john	duke	male	98	2726	amanda99@yahoo.com	labordeboy
