,university,career,inscription_date,name,gender,nacimiento,location,email
148,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021/01/09,samantha maxwell,f,1925/06/02,cataratas del iguazu,greenmark@gmail.com
149,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/12,steven charles,m,1908/12/03,cululu,kbeasley@gmail.com
150,universidad tecnológica nacional,farmacia,2020/10/04,lisa dyer,f,1930/10/07,barcala,yrosales@yahoo.com
151,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/02,jessica hampton,f,1939/01/20,gonzalez moreno,goodmanangela@gmail.com
152,universidad tecnológica nacional,diseño industrial,2020/09/25,katie weber,f,1923/12/14,barrio 1 de mayo,davidmckinney@yahoo.com
153,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/09/18,kathy wright,f,2021/02/08,bouquet,carpenteralex@gmail.com
154,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/11/21,scott wells,m,1947/04/10,la rosa,perryteresa@yahoo.com
155,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/26,katie scott,f,1916/03/29,berraondo,heather91@gmail.com
156,universidad tecnológica nacional,medicina,2020/11/27,olivia hodges,f,1975/08/17,cangrejillos,bmiller@gmail.com
157,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/11,glenda barnes,f,1965/07/21,gente grande,bwilkins@gmail.com
158,universidad tecnológica nacional,licenciatura en administración ,2020/10/11,michael wallace,m,1981/12/02,aguas buenas,pinedaamanda@gmail.com
159,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/12/14,lance williams,m,2018/09/26,el duraznillo,katelynmartin@hotmail.com
160,universidad tecnológica nacional,actuario ,2020/11/01,kimberly stewart,f,1937/03/24,lierra adjemiro,stonemichael@gmail.com
161,universidad tecnológica nacional,licenciatura en psicología,2021/01/21,michelle lewis,f,1984/09/13,el porvenir,dwalker@hotmail.com
162,universidad tecnológica nacional,actuario ,2020/10/02,michael frye,m,1996/02/17,san isidro,edward10@gmail.com
163,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/11/12,david pollard,m,1919/03/15,el olivo,jjackson@hotmail.com
164,universidad tecnológica nacional,técnico para bioterios ,2021/01/27,monica jennings,f,1911/06/15,chovet,jonesandrea@yahoo.com
165,universidad tecnológica nacional,licenciatura en psicología,2021/01/02,jennifer barton,f,1929/05/03,arroyo manganga,frank11@yahoo.com
166,universidad tecnológica nacional,diseño industrial,2020/09/14,theresa stuart,f,1988/12/16,bajo guazu,carlsonbrett@gmail.com
167,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/11/04,phillip woods,m,1933/10/17,san antonio de obligado,sarah31@gmail.com
168,universidad tecnológica nacional,bioquímica,2021/01/23,kaylee gonzalez,f,1925/11/27,rio mayo,tami35@gmail.com
169,universidad tecnológica nacional,arquitectura,2021/01/23,lacey johnson,f,1948/02/01,colonia lote 12,sabrinahenry@yahoo.com
170,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/15,angela russell,f,1911/07/19,alfredo demarchi,pennyramirez@yahoo.com
171,universidad tecnológica nacional,licenciatura en ciencias geológicas,2021/01/16,matthew sullivan,m,1957/04/17,barrio emir ramon juarez,kristenpatterson@gmail.com
172,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021/01/21,samantha jimenez,f,1918/03/01,rincon de milberg,loweolivia@gmail.com
173,universidad tecnológica nacional,bioquímica,2020/11/27,jorge jackson,m,1912/12/07,dho,maryalexander@gmail.com
174,universidad tecnológica nacional,licenciatura en artes,2020/10/19,dawn hodge,f,1925/04/13,est jauregui va flandria,roger32@gmail.com
175,universidad tecnológica nacional,licenciatura en sociología ,2021/01/18,nicholas carter,m,1940/08/12,colonia duportal,david12@hotmail.com
176,universidad tecnológica nacional,ingeniería en informática,2021/01/31,robert watson,m,1972/08/05,alto grande,tammybaker@hotmail.com
177,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/03,diana hamilton,f,1953/06/24,colonia hernandarias,donald06@yahoo.com
178,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/11/13,michael gay,m,2016/12/19,centro comunitario cnia nue,peterbutler@yahoo.com
179,universidad tecnológica nacional,ciencias veterinarias,2020/09/17,debra ford,f,1954/06/04,el gualicho,pwallace@yahoo.com
180,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/05,michael gomez,m,2013/04/10,deferrari,jsullivan@hotmail.com
181,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/11/10,paul noble,m,1978/06/04,balde de leyes,robert62@gmail.com
182,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/26,miss lauren fuller,f,1937/06/04,la union,kcastro@yahoo.com
183,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/11,curtis waters md,m,1931/07/19,las quintas,jamesparker@gmail.com
184,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/09/25,charles long,m,1948/04/08,hito 45,christopher73@hotmail.com
185,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/09/10,tammy ewing,f,1989/08/14,boca p 25,thomas90@gmail.com
186,universidad tecnológica nacional,agronomía,2020/12/04,rebecca soto,f,1960/01/06,chapuy,ethomas@hotmail.com
187,universidad tecnológica nacional,licenciatura en administración ,2021/01/26,amy ross,f,1937/04/09,arroyito,anitawilson@gmail.com
188,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/06,micheal richardson,m,1935/02/02,el campamento,sandersdouglas@gmail.com
189,universidad tecnológica nacional,licenciatura en musicoterapia,2020/12/31,richard johnston,m,1978/12/09,el carretero,alyssapratt@hotmail.com
190,universidad tecnológica nacional,ingeniería electrónica,2021/01/13,john moore,m,1996/02/21,berraondo,andreacrawford@hotmail.com
191,universidad tecnológica nacional,farmacia,2020/10/23,scott may,m,1925/08/22,longchamps,roblesvictoria@hotmail.com
192,universidad tecnológica nacional,bioquímica,2020/12/16,jennifer wilson,f,1935/03/24,pellegrini,ysmith@hotmail.com
193,universidad tecnológica nacional,ingeniería electrónica,2020/11/27,susan gentry,f,1963/01/11,jose clemente paz,parkergabriela@yahoo.com
194,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/18,adam hughes,m,2017/09/23,aguada grande,sharon01@hotmail.com
195,universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/04,david house,m,1986/01/07,caseros,zandrews@hotmail.com
196,universidad tecnológica nacional,licenciatura en sociología ,2020/09/15,allison roach,f,1963/08/29,bombal,ochavez@yahoo.com
197,universidad tecnológica nacional,bioquímica,2020/09/19,jeffrey phillips,m,2003/08/02,kilometro 23,robert49@gmail.com
198,universidad tecnológica nacional,contador público ,2020/10/31,kurt hill,m,1913/08/18,aparzo,andersonsarah@yahoo.com
199,universidad tecnológica nacional,diseño industrial,2020/09/20,debra carter,f,1914/07/27,calderon,stevensrobert@hotmail.com
200,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/11/14,rebecca compton,f,1992/01/09,algarrobo,xlopez@yahoo.com
201,universidad tecnológica nacional,arquitectura,2020/12/18,hector king,m,1909/08/17,gobernador benegas,fisherdenise@gmail.com
202,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/26,joseph kaiser,m,1989/04/09,arminda,ucollier@hotmail.com
203,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/11/15,garrett wells,m,1994/06/16,alberto gerchunoff,brian10@gmail.com
204,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/10,janice mcneil,f,1985/05/21,campana,steven10@yahoo.com
205,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/10/25,jodi york,f,2020/06/12,alferez san martin,diazkimberly@hotmail.com
206,universidad tecnológica nacional,contador público ,2021/01/16,jennifer marquez,f,1996/03/13,colhue huapi,josechristian@yahoo.com
207,universidad tecnológica nacional,actuario ,2020/10/05,cynthia fletcher,f,2011/01/19,barcala,qjones@gmail.com
208,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/28,corey mora jr.,m,1919/04/15,28 de noviembre,milesmatthew@hotmail.com
