,university,career,inscription_date,nombre,sexo,birth_date,location,email
18,universidad nacional de jujuy,medicina,2020/09/02,alyssa weiss,f,1974/08/01,chimpay,zhoward@gmail.com
19,universidad nacional de jujuy,licenciatura en artes,2020/09/03,dr. kimberly wilson,f,1974/04/06,an aike,nwebster@yahoo.com
20,universidad nacional de jujuy,licenciatura en psicología,2020/09/03,mr. jason martin jr.,m,1933/01/13,eduardo costa,katelynwagner@yahoo.com
21,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/03,eric white,m,1982/10/30,alto lindo,ebowers@gmail.com
22,universidad nacional de jujuy,licenciatura en artes,2020/09/03,stephanie hernandez,f,1927/01/06,20 de septiembre,rhondasmith@gmail.com
23,universidad nacional de jujuy,ingeniería en informática,2020/09/03,christine dixon md,f,1921/05/07,apeadero las chimbas,daviddecker@hotmail.com
24,universidad nacional de jujuy,técnico para bioterios ,2020/09/03,lori price,f,1932/09/29,comandante granville,rebecca20@yahoo.com
25,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/03,jennifer cox,f,1982/07/10,avestruz,hughesjames@gmail.com
26,universidad nacional de jujuy,ingeniería electrónica,2020/09/03,marilyn murphy,f,1939/02/21,arroyo ceibal,kimberlydavis@yahoo.com
27,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/03,jennifer wilson,f,1917/05/03,haras san jacinto,brianbrown@hotmail.com
28,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/03,brenda foster,f,1960/06/07,lierra adjemiro,umoody@hotmail.com
29,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/09/04,nicholas gordon,m,1961/08/05,benito juarez,bruce59@yahoo.com
30,universidad nacional de jujuy,licenciatura en sociología ,2020/09/04,collin estrada,m,1950/05/30,kilometro 184,michael67@yahoo.com
31,universidad nacional de jujuy,ingeniería electrónica,2020/09/04,tammy moore,f,1961/03/27,campo peña lopez,shannonhall@hotmail.com
32,universidad nacional de jujuy,medicina,2020/09/04,scott moore,m,1973/06/01,campana,jamescampbell@hotmail.com
33,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/09/04,anthony deleon,m,1945/07/15,ranelagh,benjamin52@yahoo.com
34,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/04,jamie jackson,f,1909/12/13,agua seballe,smithcassidy@hotmail.com
35,universidad nacional de jujuy,actuario ,2020/09/04,ashley oconnell,f,1978/11/12,camaron chico,pjackson@hotmail.com
36,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/04,ethan combs,m,1932/09/18,23 de agosto,grayashley@hotmail.com
37,universidad nacional de jujuy,bioquímica,2020/09/04,jason hardy,m,2011/01/20,aguayo,ogrant@yahoo.com
38,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/04,john anderson,m,1935/02/22,aguada del loro,ryanjackson@hotmail.com
39,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/05,katrina owens,f,1947/06/13,colonia los lapachos,nhobbs@yahoo.com
40,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/05,nicholas walker,m,2016/08/06,abra,heiditurner@gmail.com
41,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020/09/05,jeffery cooley,m,1927/10/31,aldea san jorge,christopherallen@yahoo.com
42,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/05,nicholas scott,m,1922/03/27,punta de los llanos,morrisonjesse@gmail.com
43,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/05,christopher porter,m,1906/06/23,castelar,uchambers@gmail.com
44,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/09/05,james sparks,m,1920/08/03,colonia duportal,dancombs@gmail.com
45,universidad nacional de jujuy,licenciatura en sociología ,2020/09/05,kimberly jones,f,2006/10/26,alvear,espinozagregory@hotmail.com
46,universidad nacional de jujuy,licenciatura en administración ,2020/09/05,alexander martin,m,1918/01/27,bathurst estacion,marylynch@yahoo.com
47,universidad nacional de jujuy,bioquímica,2020/09/05,matthew pugh,m,1986/06/22,anguil,justin85@hotmail.com
48,universidad nacional de jujuy,licenciatura en psicología,2020/09/05,cassidy cunningham,f,1933/05/04,arroyo ceibal,zchandler@hotmail.com
49,universidad nacional de jujuy,bioquímica,2020/09/05,travis lopez,m,1918/07/10,ceres,reyesmarc@hotmail.com
50,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/06,maureen forbes,f,1987/06/09,barker,pharris@gmail.com
51,universidad nacional de jujuy,medicina,2020/09/06,sean mcintosh,m,1960/07/26,algarrobo,amandacarter@gmail.com
52,universidad nacional de jujuy,licenciatura en psicología,2020/09/06,denise bonilla,f,1965/04/22,gregorio de laferrere,tbrown@yahoo.com
53,universidad nacional de jujuy,diseño de imagen y sonido,2020/09/06,cynthia johnson,f,1946/12/27,hito 45,elizabeth02@hotmail.com
54,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/09/06,nancy hall,f,2019/06/08,cabaña el cisne,kentlaura@gmail.com
55,universidad nacional de jujuy,bioquímica,2020/09/06,david brown,m,1997/03/29,colonia el potrero,rjohnson@gmail.com
56,universidad nacional de jujuy,arquitectura,2020/09/06,jessica graves,f,2009/12/24,dudignac,kellydana@hotmail.com
57,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/06,nathan coleman,m,1938/04/29,villa lynch,stephaniedavis@hotmail.com
58,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/07,mary price,f,1997/09/09,paso de los andes,larrywalker@hotmail.com
59,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/07,dylan baldwin,m,2014/05/22,bravo del dos,beckmichelle@gmail.com
60,universidad nacional de jujuy,licenciatura en psicología,2020/09/07,michael pacheco,m,1941/02/13,meson de fierro,erosario@yahoo.com
61,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020/09/07,kurt glover,m,1948/01/27,colonia bella italia,iwright@yahoo.com
62,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/09/07,jennifer chung,f,1972/10/31,gandolfi,hernandezjessica@yahoo.com
63,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/07,samantha baker,f,1961/06/02,don torcuato,william53@hotmail.com
64,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/07,alison miller,f,1921/10/24,la torrecita,mescobar@hotmail.com
65,universidad nacional de jujuy,actuario ,2020/09/07,jason dickson,m,1972/06/13,jose maria blanco,stephaniemays@gmail.com
66,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/07,jane ross,f,1996/01/05,campo largo,fowlermark@hotmail.com
67,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/07,danielle young,f,1906/07/19,anderson,elizabethrice@gmail.com
68,universidad nacional de jujuy,farmacia,2020/09/07,elizabeth hawkins md,f,2007/12/12,abipones,qarnold@yahoo.com
69,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/07,shannon reyes,m,1933/11/23,acheral,carrie89@yahoo.com
70,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/07,caroline humphrey,f,2016/01/18,agua de castilla,gsnyder@hotmail.com
71,universidad nacional de jujuy,licenciatura en administración ,2020/09/07,alexander reynolds,m,1908/08/31,arroyo pareja,adyer@gmail.com
72,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/08,terry kramer,m,1962/01/07,america,dunnstacy@yahoo.com
73,universidad nacional de jujuy,agronomía,2020/09/08,crystal charles,f,2018/03/22,colonia la gaviota,joanne73@yahoo.com
74,universidad nacional de jujuy,ingeniería mecánica,2020/09/08,kimberly gomez,f,2014/02/08,casablanca,dillonashley@yahoo.com
75,universidad nacional de jujuy,licenciatura en artes,2020/09/08,travis cohen,m,2019/09/28,albigasta,floresaaron@hotmail.com
76,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/09/08,david douglas,m,2001/07/27,colonia cunci,patricia55@hotmail.com
77,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/08,summer holloway,f,2009/07/05,bella union paraje,christian46@hotmail.com
78,universidad nacional de jujuy,farmacia,2020/09/08,victoria logan,f,1997/12/06,villa lerga,andrew77@gmail.com
79,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/08,jesse pittman,m,1997/10/20,candelaria,ashley90@hotmail.com
80,universidad nacional de jujuy,agronomía,2020/09/08,miguel clark,m,1946/07/06,campana,stephen16@gmail.com
81,universidad nacional de jujuy,arquitectura,2020/09/08,joel williams,m,2021/02/14,san andres,louisjackson@hotmail.com
82,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/08,donna barton,f,1978/05/15,balde ahumada,jeremythornton@gmail.com
83,universidad nacional de jujuy,diseño industrial,2020/09/08,katie lloyd,f,1973/01/28,el campamento,vgonzalez@yahoo.com
84,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/09,todd rose,m,1974/06/06,agustin mosconi,bentleydaniel@yahoo.com
85,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/09/09,amanda cummings,f,1949/12/02,boliche lata,mclaughlinmark@hotmail.com
86,universidad nacional de jujuy,ingeniería electrónica,2020/09/09,kimberly reynolds,f,1996/04/03,san marcelo,lcobb@yahoo.com
87,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/09,jeffrey barajas,m,1999/05/17,francisco paz,jason81@yahoo.com
88,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/09,john butler,m,1969/10/28,juan vela,jacquelineroberts@gmail.com
89,universidad nacional de jujuy,ingeniería electrónica,2020/09/09,russell lawrence,m,2002/12/28,algarrobo,bpitts@gmail.com
90,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/09,francisco oneal,m,1999/04/12,agua de torre,andersonnancy@hotmail.com
91,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/09,stephen guzman,m,1925/03/30,amadores,james02@hotmail.com
92,universidad nacional de jujuy,técnico para bioterios ,2020/09/09,kenneth moore,m,2009/01/06,abel,vmoore@yahoo.com
93,universidad nacional de jujuy,licenciatura en psicología,2020/09/09,rachel foster,f,2015/11/25,barrio indio trompa,becky47@hotmail.com
94,universidad nacional de jujuy,ingeniería mecánica,2020/09/09,gary reese,m,1973/11/30,capayan,nguyensara@yahoo.com
95,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/09,melissa hammond,f,1980/11/28,alto de leiva,cruzrichard@yahoo.com
96,universidad nacional de jujuy,bioquímica,2020/09/09,julie johnston,f,1983/01/09,est jauregui va flandria,rdunlap@gmail.com
97,universidad nacional de jujuy,licenciatura en sociología ,2020/09/09,stephanie morrison,f,1922/11/04,calera la norma,johnwalker@hotmail.com
98,universidad nacional de jujuy,bioquímica,2020/09/09,john white,m,1986/06/02,arboleda,christopher46@yahoo.com
99,universidad nacional de jujuy,agronomía,2020/09/10,jake carrillo,m,1958/11/16,bravo del dos,dbarnes@yahoo.com
100,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/10,ruben dougherty,m,1972/10/21,colonia clara,gyang@gmail.com
101,universidad nacional de jujuy,contador público ,2020/09/10,janice beck,f,1993/06/01,dique toma,paul28@gmail.com
102,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/10,william myers,m,1949/05/26,anecon grande,soconnell@yahoo.com
103,universidad nacional de jujuy,técnico para bioterios ,2020/09/10,daniel hogan,m,1907/01/29,colonia ferrari,owenskatherine@yahoo.com
104,universidad nacional de jujuy,ingeniería electrónica,2020/09/10,jason hebert,m,1980/12/20,1 de mayo,jeffreymack@yahoo.com
105,universidad nacional de jujuy,ingeniería en informática,2020/09/10,annette powell,f,1954/09/21,america unida,robinsonhunter@hotmail.com
106,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/10,jacob young,m,1945/10/05,cañadon de los indios,fhenry@gmail.com
107,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/10,ronald mitchell,m,1915/02/09,agote,gibsonrebecca@hotmail.com
108,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/10,sherri anderson,f,2018/05/01,escuela agricola don bosco,ncook@gmail.com
109,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/10,angela hernandez,f,1963/08/23,barrancas,matthewcruz@gmail.com
110,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/10,brent collins,m,1986/04/05,campo andino,tfisher@gmail.com
111,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/10,janet bruce,f,1922/09/26,alicura,evansregina@gmail.com
112,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/10,christopher martin,m,1907/01/25,arroyo grande,aaronpotts@hotmail.com
113,universidad nacional de jujuy,medicina,2020/09/11,sara cox,f,1949/02/24,piamonte,warrentucker@hotmail.com
114,universidad nacional de jujuy,diseño de imagen y sonido,2020/09/11,michael adams,m,1915/11/21,abra,donna49@yahoo.com
115,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/11,emily simpson,f,1937/11/01,cameron,rebecca03@yahoo.com
116,universidad nacional de jujuy,agronomía,2020/09/11,linda carter,f,1933/04/11,aguada grande,ymeyer@gmail.com
117,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020/09/11,james tucker,m,1998/01/23,baños lunlunta,leslielewis@gmail.com
118,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/11,amber shelton,f,1986/05/07,casira,adamsdonald@yahoo.com
119,universidad nacional de jujuy,actuario ,2020/09/11,robert harrison,m,1907/07/07,2 de mayo,james85@hotmail.com
120,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/11,christopher martinez,m,1951/07/09,cari larquea,criley@hotmail.com
121,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/11,robert morris,m,1949/06/02,abra del tafi,jamesclark@yahoo.com
122,universidad nacional de jujuy,licenciatura en administración ,2020/09/11,john schmidt,m,1963/08/15,abramo,christopherfisher@gmail.com
123,universidad nacional de jujuy,bioquímica,2020/09/11,jessica bell,f,1979/03/14,colonia la gaviota,lori41@yahoo.com
124,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/11,cristian nunez,m,2002/06/19,campo santo domingo,maria04@yahoo.com
125,universidad nacional de jujuy,arquitectura,2020/09/12,andrea cruz,f,2006/12/31,costa brava,christianjohnson@gmail.com
126,universidad nacional de jujuy,medicina,2020/09/12,sarah wilson,f,1956/02/08,9 de julio,jeffrey20@yahoo.com
127,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/12,jeffery edwards,m,1961/09/18,berazategui,masonchristopher@yahoo.com
128,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/12,jeremy buck,m,1998/01/17,cañada de las ovejas,stanleyvincent@gmail.com
129,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/12,benjamin hernandez,m,2009/07/27,comandante leal,andrew91@hotmail.com
130,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/12,melissa saunders,f,1965/02/27,blandengues,williamstonya@gmail.com
131,universidad nacional de jujuy,medicina,2020/09/12,mary brown,f,1938/10/18,coronel pringles,margaretmarsh@gmail.com
132,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/12,brent murray,m,1937/09/20,barrio garin norte,elizabeth47@hotmail.com
133,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/12,gwendolyn bryan,f,1978/10/19,calera,sdennis@yahoo.com
134,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/12,leslie floyd,f,1957/08/12,ricardo lavalle,kpetersen@hotmail.com
135,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/12,lauren gardner,f,1950/04/29,el abanico,fhernandez@yahoo.com
136,universidad nacional de jujuy,ingeniería en informática,2020/09/12,thomas higgins,m,1909/08/01,isla victoria,danny18@yahoo.com
137,universidad nacional de jujuy,bioquímica,2020/09/13,robert ramirez,m,1956/08/09,francisco casal,fbrown@yahoo.com
138,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/13,jean knight,f,1920/04/25,coliqueo,clarencegross@yahoo.com
139,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/13,traci lopez,f,1919/06/20,bajo de los sueldos,copelandtimothy@hotmail.com
140,universidad nacional de jujuy,diseño industrial,2020/09/13,benjamin hughes,m,2005/02/21,colonia cunci,pgonzalez@hotmail.com
141,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/13,joshua weeks,m,1932/07/10,20 de junio,logan49@hotmail.com
142,universidad nacional de jujuy,diseño de imagen y sonido,2020/09/13,michael harris,m,2017/02/20,realico,gsimpson@hotmail.com
143,universidad nacional de jujuy,ciencias veterinarias,2020/09/13,william whitney,m,1973/07/21,arroyo casco,sean06@yahoo.com
144,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/13,trevor smith,m,1921/04/05,campo garay,mary23@gmail.com
145,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/13,sandra rivas,f,1972/04/28,canning,morgan50@gmail.com
146,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/13,marilyn carter,f,1994/06/30,abra de pives,allisonellis@yahoo.com
147,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/13,miss tina pratt,f,1930/01/16,acheral,glenn53@gmail.com
148,universidad nacional de jujuy,actuario ,2020/09/14,melanie cross,f,1909/07/13,aguas verdes,jasmine40@yahoo.com
149,universidad nacional de jujuy,ingeniería en informática,2020/09/14,henry thompson,m,1914/04/18,estacion uspallata,uhanson@yahoo.com
150,universidad nacional de jujuy,agronomía,2020/09/14,sara wood,f,1999/11/23,muñiz,daniel93@hotmail.com
151,universidad nacional de jujuy,agronomía,2020/09/14,donald baker,m,1943/12/22,aserradero arroyo,crystal01@gmail.com
152,universidad nacional de jujuy,agronomía,2020/09/14,christine hill,f,1945/11/01,la rosa,sullivanamanda@yahoo.com
153,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/09/14,nancy campbell,f,2018/04/30,cazon,pbrown@yahoo.com
154,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/14,robert brooks,m,1979/04/28,alberti,stephanie76@gmail.com
155,universidad nacional de jujuy,licenciatura en sociología ,2020/09/14,jennifer harvey,f,1971/05/22,aguara grande,danielanderson@gmail.com
156,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/14,megan hunter,f,2009/09/04,20 de febrero,wrightjeffery@gmail.com
157,universidad nacional de jujuy,ingeniería mecánica,2020/09/14,micheal diaz,m,1971/01/19,isidro casanova,turnerbobby@yahoo.com
158,universidad nacional de jujuy,diseño industrial,2020/09/14,john garcia,m,2004/01/10,arroyo dulce,gbridges@yahoo.com
159,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/14,carolyn clark,f,1969/05/30,colonia centenario,jordanleslie@hotmail.com
160,universidad nacional de jujuy,ingeniería en informática,2020/09/14,patrick torres,m,1986/12/17,olascoaga,gibsonjeff@yahoo.com
161,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/09/14,troy wilson,m,1922/04/27,pontaut,xreid@hotmail.com
162,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/09/14,alexander nelson,m,1944/09/28,campo moreno,russostephanie@hotmail.com
163,universidad nacional de jujuy,ingeniería electrónica,2020/09/14,jeremy jackson,m,1929/05/09,la ines,jimenezerik@hotmail.com
164,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/15,roger wilkinson,m,1974/02/22,alicura,jjackson@gmail.com
165,universidad nacional de jujuy,licenciatura en artes,2020/09/15,jennifer anderson,f,1907/09/18,ricardo lavalle,catherine87@gmail.com
166,universidad nacional de jujuy,licenciatura en sociología ,2020/09/15,kathryn nguyen,f,1991/03/28,calchaqui,andreanguyen@gmail.com
167,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/15,david hull,m,1922/05/23,alto verde,agriffith@hotmail.com
168,universidad nacional de jujuy,ciencias veterinarias,2020/09/15,ryan morris,m,2019/04/12,san bernardo del tuyu,lance21@yahoo.com
169,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/15,angela russo,f,1913/01/02,arroyo moreira,michellemontgomery@hotmail.com
170,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/15,mark todd,m,1964/12/09,estrada,karenschmidt@gmail.com
171,universidad nacional de jujuy,diseño industrial,2020/09/15,john thompson,m,1975/04/07,brea chimpana,pgutierrez@gmail.com
172,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020/09/16,edward baldwin,m,1996/11/09,baigorrita,jamie06@hotmail.com
173,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/09/16,james anderson,m,1942/10/07,la aguada de las animas,phillipmarsh@yahoo.com
174,universidad nacional de jujuy,ingeniería mecánica,2020/09/16,kayla williams,f,1985/12/08,la eduvigis,kim44@gmail.com
175,universidad nacional de jujuy,bioquímica,2020/09/16,tyrone mendoza,m,1935/03/27,cortaderas,qtaylor@yahoo.com
176,universidad nacional de jujuy,ingeniería mecánica,2020/09/16,michael taylor,m,1978/06/18,colonia reina margarita,kenneth77@yahoo.com
177,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/16,derek chen,m,1999/08/27,agua blanca,jennydowns@gmail.com
178,universidad nacional de jujuy,diseño industrial,2020/09/16,jordan carr,m,1930/09/25,aconquija,ikelly@hotmail.com
179,universidad nacional de jujuy,licenciatura en artes,2020/09/16,aaron shah md,m,2020/01/14,chumbicha,riddledavid@yahoo.com
180,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/16,dawn edwards,f,2015/08/20,estancia santa catalina,webbalexandria@gmail.com
181,universidad nacional de jujuy,ciencias veterinarias,2020/09/16,mr. justin gonzales,m,1955/08/15,chelforo,nsalazar@hotmail.com
182,universidad nacional de jujuy,licenciatura en psicología,2020/09/16,paul gray,m,1922/01/17,los indios,dicksonsarah@hotmail.com
183,universidad nacional de jujuy,farmacia,2020/09/17,scott wright,m,2019/03/22,agua botada,bramsey@hotmail.com
184,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/17,charles george,m,1931/06/20,general conesa,jramsey@hotmail.com
185,universidad nacional de jujuy,ingeniería mecánica,2020/09/17,craig young,m,1909/09/02,arroyo claro,sanfordrobert@hotmail.com
186,universidad nacional de jujuy,contador público ,2020/09/17,daniel fisher,m,2020/05/08,ampata,greenjames@yahoo.com
187,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/17,vincent reyes,m,1954/03/19,25 de mayo,sgonzalez@hotmail.com
188,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020/09/17,cory martinez,m,2015/08/27,ricardone,robertwells@gmail.com
189,universidad nacional de jujuy,bioquímica,2020/09/17,mark weaver,m,1917/12/24,25 de mayo,kgibson@yahoo.com
190,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/17,shannon mora,f,1930/02/10,abasto,crystalmarshall@gmail.com
191,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/17,jonathan leach,m,2020/11/23,acheral,erikapena@yahoo.com
192,universidad nacional de jujuy,arquitectura,2020/09/17,jimmy taylor,m,2004/12/12,la union,xcollins@gmail.com
193,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/18,gregg guerrero,m,1911/07/03,angeloni,gregory83@gmail.com
194,universidad nacional de jujuy,arquitectura,2020/09/18,alan delgado,m,1932/07/22,bustamante,jonathan71@hotmail.com
195,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/18,amy summers,f,1918/05/06,alsina,millerdavid@yahoo.com
196,universidad nacional de jujuy,contador público ,2020/09/18,justin lewis,m,2010/08/24,campo charo,stephanie32@hotmail.com
197,universidad nacional de jujuy,bioquímica,2020/09/18,timothy fleming,m,2011/01/05,carrizal norte,michaelmartinez@yahoo.com
198,universidad nacional de jujuy,diseño industrial,2020/09/18,monica lee phd,f,1962/04/30,los frentones,kchristensen@gmail.com
199,universidad nacional de jujuy,diseño de imagen y sonido,2020/09/18,deborah thomas,f,1971/09/10,arijon,ygeorge@yahoo.com
200,universidad nacional de jujuy,licenciatura en artes,2020/09/18,samantha brooks,f,2007/06/14,albarellos,teresadouglas@hotmail.com
201,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/18,tanya smith,f,1944/05/06,la california,rwashington@yahoo.com
202,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/18,lisa martin,f,2001/12/09,colon,williamskathy@hotmail.com
203,universidad nacional de jujuy,medicina,2020/09/18,carl gutierrez,m,1978/11/20,edmundo perkins,jenniferkim@gmail.com
204,universidad nacional de jujuy,ingeniería electrónica,2020/09/18,valerie baker,f,1921/03/13,antumpa,gerald79@hotmail.com
205,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/19,daniel white md,m,2007/10/16,baigorrita,kgarcia@hotmail.com
206,universidad nacional de jujuy,técnico para bioterios ,2020/09/19,greg mullins,m,1953/03/26,campo sabate,denise59@gmail.com
207,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/19,james sims,m,1948/01/23,antonio pini,jimenezjason@yahoo.com
